Designator,Mid X,Mid Y,Rotation,Layer
LS1,-150.75825,-111.002,0,bottom
C1,142.494,-61.722,-90,top
C2,115.062,-111.506,90,top
D1,162.306,-65.278,180,top
D2,162.306,-60.96,180,top
D4,118.87,-116.1575,-90,top
D5,119.04,-108.23,-90,top
J1,153.88,-65.78,180,top
J2,117.82,-88.56,-90,top
J3,121.8725,-71.13,-90,top
R4,144.272,-63.5,-90,top
R5,142.494,-66.04,90,top
U1,132.475,-89.4,-90,top
U2,155.58,-84.84,90,top
U3,154.48,-114.81,90,top
