Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,789,N
0,290.3m,,,,
0.001,290.3m,,,,
0.002,293.7m,,,,
0.003,286.8m,,,,
0.004,290.3m,,,,
0.005,293.7m,,,,
0.006,290.3m,,,,
0.007,286.8m,,,,
0.008,290.3m,,,,
0.009,290.3m,,,,
0.01,286.8m,,,,
0.011,286.8m,,,,
0.012,286.8m,,,,
0.013,286.8m,,,,
0.014,297.2m,,,,
0.015,286.8m,,,,
0.016,290.3m,,,,
0.017,283.4m,,,,
0.018,283.4m,,,,
0.019,286.8m,,,,
0.02,293.7m,,,,
0.021,286.8m,,,,
0.022,286.8m,,,,
0.023,283.4m,,,,
0.024,286.8m,,,,
0.025,286.8m,,,,
0.026,279.9m,,,,
0.027,293.7m,,,,
0.028,290.3m,,,,
0.029,286.8m,,,,
0.03,297.2m,,,,
0.031,286.8m,,,,
0.032,293.7m,,,,
0.033,276.5m,,,,
0.034,293.7m,,,,
0.035,293.7m,,,,
0.036,293.7m,,,,
0.037,300.6m,,,,
0.038,290.3m,,,,
0.039,290.3m,,,,
0.04,293.7m,,,,
0.041,286.8m,,,,
0.042,290.3m,,,,
0.043,286.8m,,,,
0.044,293.7m,,,,
0.045,300.6m,,,,
0.046,297.2m,,,,
0.047,290.3m,,,,
0.048,293.7m,,,,
0.049,290.3m,,,,
0.05,290.3m,,,,
0.051,293.7m,,,,
0.052,293.7m,,,,
0.053,293.7m,,,,
0.054,290.3m,,,,
0.055,297.2m,,,,
0.056,290.3m,,,,
0.057,290.3m,,,,
0.058,286.8m,,,,
0.059,293.7m,,,,
0.06,297.2m,,,,
0.061,286.8m,,,,
0.062,290.3m,,,,
0.063,286.8m,,,,
0.064,300.6m,,,,
0.065,283.4m,,,,
0.066,293.7m,,,,
0.067,286.8m,,,,
0.068,283.4m,,,,
0.069,283.4m,,,,
0.07,290.3m,,,,
0.071,283.4m,,,,
0.072,276.5m,,,,
0.073,290.3m,,,,
0.074,283.4m,,,,
0.075,283.4m,,,,
0.076,293.7m,,,,
0.077,290.3m,,,,
0.078,286.8m,,,,
0.079,290.3m,,,,
0.08,283.4m,,,,
0.081,286.8m,,,,
0.082,276.5m,,,,
0.083,279.9m,,,,
0.084,286.8m,,,,
0.085,283.4m,,,,
0.086,286.8m,,,,
0.087,286.8m,,,,
0.088,293.7m,,,,
0.089,290.3m,,,,
0.09,290.3m,,,,
0.091,297.2m,,,,
0.092,293.7m,,,,
0.093,283.4m,,,,
0.094,290.3m,,,,
0.095,290.3m,,,,
0.096,300.6m,,,,
0.097,300.6m,,,,
0.098,293.7m,,,,
0.099,304.1m,,,,
0.1,297.2m,,,,
0.101,297.2m,,,,
0.102,293.7m,,,,
0.103,293.7m,,,,
0.104,297.2m,,,,
0.105,273m,,,,
0.106,286.8m,,,,
0.107,290.3m,,,,
0.108,293.7m,,,,
0.109,293.7m,,,,
0.11,290.3m,,,,
0.111,293.7m,,,,
0.112,286.8m,,,,
0.113,293.7m,,,,
0.114,297.2m,,,,
0.115,300.6m,,,,
0.116,293.7m,,,,
0.117,290.3m,,,,
0.118,290.3m,,,,
0.119,293.7m,,,,
0.12,283.4m,,,,
0.121,293.7m,,,,
0.122,290.3m,,,,
0.123,290.3m,,,,
0.124,286.8m,,,,
0.125,286.8m,,,,
0.126,293.7m,,,,
0.127,297.2m,,,,
0.128,297.2m,,,,
0.129,283.4m,,,,
0.13,293.7m,,,,
0.131,293.7m,,,,
0.132,286.8m,,,,
0.133,297.2m,,,,
0.134,297.2m,,,,
0.135,293.7m,,,,
0.136,293.7m,,,,
0.137,283.4m,,,,
0.138,290.3m,,,,
0.139,293.7m,,,,
0.14,283.4m,,,,
0.141,283.4m,,,,
0.142,286.8m,,,,
0.143,286.8m,,,,
0.144,297.2m,,,,
0.145,290.3m,,,,
0.146,290.3m,,,,
0.147,290.3m,,,,
0.148,290.3m,,,,
0.149,286.8m,,,,
0.15,290.3m,,,,
0.151,279.9m,,,,
0.152,290.3m,,,,
0.153,279.9m,,,,
0.154,297.2m,,,,
0.155,290.3m,,,,
0.156,286.8m,,,,
0.157,297.2m,,,,
0.158,297.2m,,,,
0.159,286.8m,,,,
0.16,293.7m,,,,
0.161,279.9m,,,,
0.162,290.3m,,,,
0.163,290.3m,,,,
0.164,290.3m,,,,
0.165,286.8m,,,,
0.166,286.8m,,,,
0.167,286.8m,,,,
0.168,293.7m,,,,
0.169,293.7m,,,,
0.17,290.3m,,,,
0.171,286.8m,,,,
0.172,297.2m,,,,
0.173,290.3m,,,,
0.174,297.2m,,,,
0.175,286.8m,,,,
0.176,297.2m,,,,
0.177,297.2m,,,,
0.178,286.8m,,,,
0.179,286.8m,,,,
0.18,297.2m,,,,
0.181,286.8m,,,,
0.182,286.8m,,,,
0.183,290.3m,,,,
0.184,286.8m,,,,
0.185,297.2m,,,,
0.186,297.2m,,,,
0.187,293.7m,,,,
0.188,290.3m,,,,
0.189,290.3m,,,,
0.19,297.2m,,,,
0.191,297.2m,,,,
0.192,293.7m,,,,
0.193,297.2m,,,,
0.194,300.6m,,,,
0.195,290.3m,,,,
0.196,297.2m,,,,
0.197,283.4m,,,,
0.198,286.8m,,,,
0.199,279.9m,,,,
0.2,283.4m,,,,
0.201,279.9m,,,,
0.202,290.3m,,,,
0.203,293.7m,,,,
0.204,293.7m,,,,
0.205,297.2m,,,,
0.206,283.4m,,,,
0.207,297.2m,,,,
0.208,290.3m,,,,
0.209,290.3m,,,,
0.21,290.3m,,,,
0.211,297.2m,,,,
0.212,293.7m,,,,
0.213,290.3m,,,,
0.214,286.8m,,,,
0.215,286.8m,,,,
0.216,293.7m,,,,
0.217,286.8m,,,,
0.218,293.7m,,,,
0.219,290.3m,,,,
0.22,290.3m,,,,
0.221,286.8m,,,,
0.222,290.3m,,,,
0.223,286.8m,,,,
0.224,286.8m,,,,
0.225,283.4m,,,,
0.226,290.3m,,,,
0.227,286.8m,,,,
0.228,293.7m,,,,
0.229,293.7m,,,,
0.23,286.8m,,,,
0.231,290.3m,,,,
0.232,290.3m,,,,
0.233,273m,,,,
0.234,293.7m,,,,
0.235,286.8m,,,,
0.236,293.7m,,,,
0.237,279.9m,,,,
0.238,290.3m,,,,
0.239,293.7m,,,,
0.24,293.7m,,,,
0.241,290.3m,,,,
0.242,279.9m,,,,
0.243,297.2m,,,,
0.244,297.2m,,,,
0.245,290.3m,,,,
0.246,283.4m,,,,
0.247,286.8m,,,,
0.248,293.7m,,,,
0.249,297.2m,,,,
0.25,290.3m,,,,
0.251,286.8m,,,,
0.252,286.8m,,,,
0.253,290.3m,,,,
0.254,300.6m,,,,
0.255,300.6m,,,,
0.256,290.3m,,,,
0.257,290.3m,,,,
0.258,297.2m,,,,
0.259,297.2m,,,,
0.26,286.8m,,,,
0.261,293.7m,,,,
0.262,290.3m,,,,
0.263,290.3m,,,,
0.264,297.2m,,,,
0.265,300.6m,,,,
0.266,286.8m,,,,
0.267,297.2m,,,,
0.268,293.7m,,,,
0.269,283.4m,,,,
0.27,293.7m,,,,
0.271,290.3m,,,,
0.272,290.3m,,,,
0.273,293.7m,,,,
0.274,293.7m,,,,
0.275,286.8m,,,,
0.276,283.4m,,,,
0.277,283.4m,,,,
0.278,297.2m,,,,
0.279,297.2m,,,,
0.28,290.3m,,,,
0.281,286.8m,,,,
0.282,276.5m,,,,
0.283,290.3m,,,,
0.284,286.8m,,,,
0.285,300.6m,,,,
0.286,293.7m,,,,
0.287,290.3m,,,,
0.288,290.3m,,,,
0.289,290.3m,,,,
0.29,290.3m,,,,
0.291,286.8m,,,,
0.292,269.6m,,,,
0.293,290.3m,,,,
0.294,293.7m,,,,
0.295,290.3m,,,,
0.296,300.6m,,,,
0.297,290.3m,,,,
0.298,293.7m,,,,
0.299,279.9m,,,,
0.3,297.2m,,,,
0.301,290.3m,,,,
0.302,290.3m,,,,
0.303,293.7m,,,,
0.304,293.7m,,,,
0.305,300.6m,,,,
0.306,293.7m,,,,
0.307,297.2m,,,,
0.308,290.3m,,,,
0.309,293.7m,,,,
0.31,290.3m,,,,
0.311,290.3m,,,,
0.312,290.3m,,,,
0.313,290.3m,,,,
0.314,290.3m,,,,
0.315,286.8m,,,,
0.316,283.4m,,,,
0.317,290.3m,,,,
0.318,297.2m,,,,
0.319,297.2m,,,,
0.32,293.7m,,,,
0.321,290.3m,,,,
0.322,286.8m,,,,
0.323,286.8m,,,,
0.324,293.7m,,,,
0.325,290.3m,,,,
0.326,290.3m,,,,
0.327,293.7m,,,,
0.328,276.5m,,,,
0.329,293.7m,,,,
0.33,293.7m,,,,
0.331,290.3m,,,,
0.332,286.8m,,,,
0.333,290.3m,,,,
0.334,293.7m,,,,
0.335,297.2m,,,,
0.336,283.4m,,,,
0.337,293.7m,,,,
0.338,293.7m,,,,
0.339,290.3m,,,,
0.34,297.2m,,,,
0.341,286.8m,,,,
0.342,297.2m,,,,
0.343,290.3m,,,,
0.344,286.8m,,,,
0.345,290.3m,,,,
0.346,283.4m,,,,
0.347,279.9m,,,,
0.348,297.2m,,,,
0.349,283.4m,,,,
0.35,290.3m,,,,
0.351,269.6m,,,,
0.352,300.6m,,,,
0.353,283.4m,,,,
0.354,283.4m,,,,
0.355,300.6m,,,,
0.356,293.7m,,,,
0.357,286.8m,,,,
0.358,286.8m,,,,
0.359,293.7m,,,,
0.36,293.7m,,,,
0.361,290.3m,,,,
0.362,293.7m,,,,
0.363,283.4m,,,,
0.364,290.3m,,,,
0.365,300.6m,,,,
0.366,290.3m,,,,
0.367,286.8m,,,,
0.368,290.3m,,,,
0.369,290.3m,,,,
0.37,297.2m,,,,
0.371,293.7m,,,,
0.372,290.3m,,,,
0.373,290.3m,,,,
0.374,276.5m,,,,
0.375,286.8m,,,,
0.376,290.3m,,,,
0.377,297.2m,,,,
0.378,293.7m,,,,
0.379,283.4m,,,,
0.38,290.3m,,,,
0.381,290.3m,,,,
0.382,293.7m,,,,
0.383,293.7m,,,,
0.384,293.7m,,,,
0.385,283.4m,,,,
0.386,290.3m,,,,
0.387,300.6m,,,,
0.388,293.7m,,,,
0.389,300.6m,,,,
0.39,293.7m,,,,
0.391,286.8m,,,,
0.392,290.3m,,,,
0.393,293.7m,,,,
0.394,293.7m,,,,
0.395,290.3m,,,,
0.396,297.2m,,,,
0.397,286.8m,,,,
0.398,293.7m,,,,
0.399,293.7m,,,,
0.4,290.3m,,,,
0.401,297.2m,,,,
0.402,300.6m,,,,
0.403,293.7m,,,,
0.404,297.2m,,,,
0.405,293.7m,,,,
0.406,297.2m,,,,
0.407,297.2m,,,,
0.408,290.3m,,,,
0.409,279.9m,,,,
0.41,283.4m,,,,
0.411,293.7m,,,,
0.412,283.4m,,,,
0.413,283.4m,,,,
0.414,297.2m,,,,
0.415,286.8m,,,,
0.416,293.7m,,,,
0.417,286.8m,,,,
0.418,283.4m,,,,
0.419,297.2m,,,,
0.42,286.8m,,,,
0.421,290.3m,,,,
0.422,290.3m,,,,
0.423,293.7m,,,,
0.424,276.5m,,,,
0.425,293.7m,,,,
0.426,293.7m,,,,
0.427,290.3m,,,,
0.428,297.2m,,,,
0.429,293.7m,,,,
0.43,290.3m,,,,
0.431,293.7m,,,,
0.432,286.8m,,,,
0.433,297.2m,,,,
0.434,286.8m,,,,
0.435,293.7m,,,,
0.436,283.4m,,,,
0.437,290.3m,,,,
0.438,297.2m,,,,
0.439,290.3m,,,,
0.44,290.3m,,,,
0.441,286.8m,,,,
0.442,297.2m,,,,
0.443,290.3m,,,,
0.444,279.9m,,,,
0.445,283.4m,,,,
0.446,297.2m,,,,
0.447,283.4m,,,,
0.448,293.7m,,,,
0.449,290.3m,,,,
0.45,286.8m,,,,
0.451,286.8m,,,,
0.452,297.2m,,,,
0.453,290.3m,,,,
0.454,293.7m,,,,
0.455,293.7m,,,,
0.456,290.3m,,,,
0.457,283.4m,,,,
0.458,290.3m,,,,
0.459,293.7m,,,,
0.46,286.8m,,,,
0.461,297.2m,,,,
0.462,286.8m,,,,
0.463,286.8m,,,,
0.464,297.2m,,,,
0.465,290.3m,,,,
0.466,297.2m,,,,
0.467,297.2m,,,,
0.468,297.2m,,,,
0.469,307.5m,,,,
0.47,286.8m,,,,
0.471,286.8m,,,,
0.472,297.2m,,,,
0.473,297.2m,,,,
0.474,293.7m,,,,
0.475,283.4m,,,,
0.476,290.3m,,,,
0.477,286.8m,,,,
0.478,300.6m,,,,
0.479,283.4m,,,,
0.48,300.6m,,,,
