Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,660,N
0,235.1m,,,,
0.001,228.2m,,,,
0.002,238.5m,,,,
0.003,238.5m,,,,
0.004,235.1m,,,,
0.005,228.2m,,,,
0.006,231.6m,,,,
0.007,235.1m,,,,
0.008,228.2m,,,,
0.009,221.3m,,,,
0.01,235.1m,,,,
0.011,238.5m,,,,
0.012,235.1m,,,,
0.013,228.2m,,,,
0.014,228.2m,,,,
0.015,228.2m,,,,
0.016,224.7m,,,,
0.017,221.3m,,,,
0.018,224.7m,,,,
0.019,235.1m,,,,
0.02,238.5m,,,,
0.021,224.7m,,,,
0.022,231.6m,,,,
0.023,238.5m,,,,
0.024,224.7m,,,,
0.025,228.2m,,,,
0.026,228.2m,,,,
0.027,224.7m,,,,
0.028,221.3m,,,,
0.029,235.1m,,,,
0.03,242m,,,,
0.031,221.3m,,,,
0.032,228.2m,,,,
0.033,231.6m,,,,
0.034,231.6m,,,,
0.035,228.2m,,,,
0.036,224.7m,,,,
0.037,235.1m,,,,
0.038,224.7m,,,,
0.039,235.1m,,,,
0.04,228.2m,,,,
0.041,224.7m,,,,
0.042,228.2m,,,,
0.043,231.6m,,,,
0.044,238.5m,,,,
0.045,235.1m,,,,
0.046,228.2m,,,,
0.047,228.2m,,,,
0.048,235.1m,,,,
0.049,231.6m,,,,
0.05,228.2m,,,,
0.051,235.1m,,,,
0.052,231.6m,,,,
0.053,228.2m,,,,
0.054,235.1m,,,,
0.055,231.6m,,,,
0.056,231.6m,,,,
0.057,231.6m,,,,
0.058,228.2m,,,,
0.059,231.6m,,,,
0.06,231.6m,,,,
0.061,228.2m,,,,
0.062,221.3m,,,,
0.063,231.6m,,,,
0.064,235.1m,,,,
0.065,235.1m,,,,
0.066,235.1m,,,,
0.067,228.2m,,,,
0.068,231.6m,,,,
0.069,231.6m,,,,
0.07,235.1m,,,,
0.071,242m,,,,
0.072,231.6m,,,,
0.073,231.6m,,,,
0.074,235.1m,,,,
0.075,235.1m,,,,
0.076,224.7m,,,,
0.077,231.6m,,,,
0.078,238.5m,,,,
0.079,224.7m,,,,
0.08,235.1m,,,,
0.081,231.6m,,,,
0.082,238.5m,,,,
0.083,221.3m,,,,
0.084,228.2m,,,,
0.085,228.2m,,,,
0.086,228.2m,,,,
0.087,231.6m,,,,
0.088,231.6m,,,,
0.089,231.6m,,,,
0.09,228.2m,,,,
0.091,221.3m,,,,
0.092,214.4m,,,,
0.093,228.2m,,,,
0.094,228.2m,,,,
0.095,228.2m,,,,
0.096,231.6m,,,,
0.097,217.8m,,,,
0.098,235.1m,,,,
0.099,224.7m,,,,
0.1,235.1m,,,,
0.101,228.2m,,,,
0.102,231.6m,,,,
0.103,228.2m,,,,
0.104,231.6m,,,,
0.105,231.6m,,,,
0.106,235.1m,,,,
0.107,217.8m,,,,
0.108,238.5m,,,,
