Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,1215,N
0,490.5m,,,,
0.001,497.4m,,,,
0.002,497.4m,,,,
0.003,483.6m,,,,
0.004,493.9m,,,,
0.005,487m,,,,
0.006,507.7m,,,,
0.007,493.9m,,,,
0.008,493.9m,,,,
0.009,490.5m,,,,
0.01,500.8m,,,,
0.011,490.5m,,,,
0.012,493.9m,,,,
0.013,500.8m,,,,
0.014,487m,,,,
0.015,493.9m,,,,
0.016,518.1m,,,,
0.017,500.8m,,,,
0.018,487m,,,,
0.019,497.4m,,,,
0.02,493.9m,,,,
0.021,497.4m,,,,
0.022,497.4m,,,,
0.023,497.4m,,,,
0.024,497.4m,,,,
0.025,493.9m,,,,
0.026,490.5m,,,,
0.027,490.5m,,,,
0.028,483.6m,,,,
0.029,483.6m,,,,
0.03,493.9m,,,,
0.031,504.3m,,,,
0.032,497.4m,,,,
0.033,493.9m,,,,
0.034,500.8m,,,,
0.035,490.5m,,,,
0.036,487m,,,,
0.037,493.9m,,,,
0.038,490.5m,,,,
0.039,500.8m,,,,
0.04,493.9m,,,,
0.041,500.8m,,,,
0.042,490.5m,,,,
0.043,493.9m,,,,
0.044,493.9m,,,,
0.045,490.5m,,,,
0.046,497.4m,,,,
0.047,497.4m,,,,
0.048,500.8m,,,,
0.049,493.9m,,,,
0.05,487m,,,,
0.051,497.4m,,,,
0.052,490.5m,,,,
0.053,500.8m,,,,
0.054,497.4m,,,,
0.055,493.9m,,,,
0.056,487m,,,,
0.057,490.5m,,,,
0.058,490.5m,,,,
0.059,487m,,,,
0.06,493.9m,,,,
0.061,490.5m,,,,
0.062,483.6m,,,,
0.063,497.4m,,,,
0.064,493.9m,,,,
0.065,493.9m,,,,
0.066,497.4m,,,,
0.067,493.9m,,,,
0.068,493.9m,,,,
0.069,487m,,,,
0.07,493.9m,,,,
0.071,483.6m,,,,
0.072,487m,,,,
0.073,504.3m,,,,
0.074,497.4m,,,,
0.075,490.5m,,,,
0.076,490.5m,,,,
0.077,500.8m,,,,
0.078,500.8m,,,,
0.079,511.2m,,,,
0.08,490.5m,,,,
0.081,497.4m,,,,
0.082,497.4m,,,,
0.083,490.5m,,,,
0.084,490.5m,,,,
0.085,493.9m,,,,
0.086,493.9m,,,,
0.087,490.5m,,,,
0.088,497.4m,,,,
0.089,473.2m,,,,
0.09,490.5m,,,,
0.091,487m,,,,
0.092,487m,,,,
0.093,497.4m,,,,
0.094,497.4m,,,,
0.095,497.4m,,,,
0.096,490.5m,,,,
0.097,487m,,,,
0.098,487m,,,,
0.099,500.8m,,,,
0.1,500.8m,,,,
0.101,493.9m,,,,
0.102,490.5m,,,,
0.103,497.4m,,,,
0.104,483.6m,,,,
0.105,490.5m,,,,
0.106,487m,,,,
0.107,487m,,,,
0.108,493.9m,,,,
0.109,490.5m,,,,
0.11,490.5m,,,,
0.111,497.4m,,,,
0.112,487m,,,,
0.113,500.8m,,,,
0.114,493.9m,,,,
0.115,497.4m,,,,
0.116,487m,,,,
0.117,487m,,,,
0.118,497.4m,,,,
0.119,500.8m,,,,
0.12,483.6m,,,,
0.121,480.1m,,,,
0.122,507.7m,,,,
0.123,487m,,,,
0.124,483.6m,,,,
0.125,493.9m,,,,
0.126,497.4m,,,,
0.127,490.5m,,,,
0.128,493.9m,,,,
0.129,483.6m,,,,
0.13,490.5m,,,,
0.131,500.8m,,,,
0.132,500.8m,,,,
0.133,493.9m,,,,
0.134,500.8m,,,,
0.135,500.8m,,,,
0.136,490.5m,,,,
0.137,493.9m,,,,
0.138,493.9m,,,,
0.139,504.3m,,,,
0.14,490.5m,,,,
0.141,493.9m,,,,
0.142,511.2m,,,,
0.143,490.5m,,,,
0.144,487m,,,,
0.145,493.9m,,,,
0.146,504.3m,,,,
0.147,500.8m,,,,
0.148,490.5m,,,,
0.149,497.4m,,,,
0.15,493.9m,,,,
0.151,487m,,,,
0.152,497.4m,,,,
0.153,493.9m,,,,
0.154,487m,,,,
0.155,493.9m,,,,
0.156,497.4m,,,,
0.157,487m,,,,
0.158,483.6m,,,,
0.159,483.6m,,,,
0.16,497.4m,,,,
0.161,490.5m,,,,
0.162,490.5m,,,,
0.163,483.6m,,,,
0.164,490.5m,,,,
0.165,490.5m,,,,
0.166,490.5m,,,,
0.167,497.4m,,,,
0.168,493.9m,,,,
0.169,497.4m,,,,
0.17,500.8m,,,,
0.171,497.4m,,,,
0.172,497.4m,,,,
0.173,500.8m,,,,
0.174,493.9m,,,,
0.175,504.3m,,,,
0.176,500.8m,,,,
0.177,500.8m,,,,
0.178,490.5m,,,,
0.179,497.4m,,,,
0.18,497.4m,,,,
0.181,493.9m,,,,
0.182,487m,,,,
0.183,483.6m,,,,
0.184,490.5m,,,,
0.185,497.4m,,,,
0.186,500.8m,,,,
0.187,497.4m,,,,
0.188,490.5m,,,,
0.189,483.6m,,,,
0.19,497.4m,,,,
0.191,490.5m,,,,
0.192,490.5m,,,,
0.193,500.8m,,,,
0.194,504.3m,,,,
0.195,511.2m,,,,
0.196,500.8m,,,,
0.197,497.4m,,,,
0.198,500.8m,,,,
0.199,487m,,,,
0.2,497.4m,,,,
0.201,490.5m,,,,
0.202,490.5m,,,,
0.203,490.5m,,,,
0.204,493.9m,,,,
0.205,490.5m,,,,
0.206,490.5m,,,,
0.207,497.4m,,,,
0.208,490.5m,,,,
0.209,493.9m,,,,
0.21,504.3m,,,,
0.211,497.4m,,,,
0.212,497.4m,,,,
0.213,493.9m,,,,
0.214,493.9m,,,,
0.215,493.9m,,,,
0.216,490.5m,,,,
0.217,490.5m,,,,
0.218,497.4m,,,,
0.219,493.9m,,,,
0.22,500.8m,,,,
0.221,493.9m,,,,
0.222,490.5m,,,,
0.223,490.5m,,,,
0.224,493.9m,,,,
0.225,497.4m,,,,
0.226,497.4m,,,,
0.227,497.4m,,,,
0.228,490.5m,,,,
0.229,497.4m,,,,
0.23,493.9m,,,,
0.231,490.5m,,,,
0.232,497.4m,,,,
0.233,497.4m,,,,
0.234,493.9m,,,,
0.235,507.7m,,,,
0.236,490.5m,,,,
0.237,490.5m,,,,
0.238,504.3m,,,,
0.239,493.9m,,,,
0.24,493.9m,,,,
0.241,490.5m,,,,
0.242,497.4m,,,,
0.243,483.6m,,,,
0.244,487m,,,,
0.245,497.4m,,,,
0.246,487m,,,,
0.247,493.9m,,,,
0.248,507.7m,,,,
0.249,497.4m,,,,
0.25,497.4m,,,,
0.251,490.5m,,,,
0.252,497.4m,,,,
0.253,493.9m,,,,
0.254,493.9m,,,,
0.255,493.9m,,,,
0.256,497.4m,,,,
0.257,490.5m,,,,
0.258,487m,,,,
0.259,497.4m,,,,
0.26,497.4m,,,,
0.261,497.4m,,,,
0.262,490.5m,,,,
0.263,483.6m,,,,
0.264,487m,,,,
0.265,493.9m,,,,
0.266,497.4m,,,,
0.267,500.8m,,,,
0.268,490.5m,,,,
0.269,493.9m,,,,
0.27,497.4m,,,,
0.271,483.6m,,,,
0.272,497.4m,,,,
0.273,490.5m,,,,
0.274,497.4m,,,,
0.275,500.8m,,,,
0.276,497.4m,,,,
0.277,497.4m,,,,
0.278,480.1m,,,,
0.279,497.4m,,,,
0.28,490.5m,,,,
0.281,497.4m,,,,
0.282,500.8m,,,,
0.283,500.8m,,,,
0.284,500.8m,,,,
0.285,483.6m,,,,
0.286,493.9m,,,,
0.287,490.5m,,,,
0.288,490.5m,,,,
0.289,493.9m,,,,
0.29,490.5m,,,,
0.291,500.8m,,,,
0.292,500.8m,,,,
0.293,493.9m,,,,
0.294,490.5m,,,,
0.295,497.4m,,,,
0.296,490.5m,,,,
0.297,493.9m,,,,
0.298,480.1m,,,,
0.299,500.8m,,,,
0.3,490.5m,,,,
0.301,511.2m,,,,
0.302,497.4m,,,,
0.303,487m,,,,
0.304,493.9m,,,,
0.305,493.9m,,,,
0.306,504.3m,,,,
0.307,497.4m,,,,
0.308,500.8m,,,,
0.309,500.8m,,,,
0.31,487m,,,,
0.311,487m,,,,
0.312,497.4m,,,,
0.313,493.9m,,,,
0.314,497.4m,,,,
0.315,504.3m,,,,
0.316,493.9m,,,,
0.317,497.4m,,,,
0.318,493.9m,,,,
0.319,493.9m,,,,
0.32,493.9m,,,,
0.321,490.5m,,,,
0.322,490.5m,,,,
0.323,490.5m,,,,
0.324,504.3m,,,,
0.325,497.4m,,,,
0.326,497.4m,,,,
0.327,490.5m,,,,
0.328,493.9m,,,,
0.329,493.9m,,,,
0.33,493.9m,,,,
0.331,490.5m,,,,
0.332,500.8m,,,,
0.333,497.4m,,,,
0.334,487m,,,,
0.335,483.6m,,,,
0.336,487m,,,,
0.337,500.8m,,,,
0.338,493.9m,,,,
0.339,490.5m,,,,
0.34,487m,,,,
0.341,490.5m,,,,
0.342,490.5m,,,,
0.343,490.5m,,,,
0.344,483.6m,,,,
0.345,497.4m,,,,
0.346,500.8m,,,,
0.347,493.9m,,,,
0.348,487m,,,,
0.349,497.4m,,,,
0.35,490.5m,,,,
0.351,493.9m,,,,
0.352,500.8m,,,,
0.353,497.4m,,,,
0.354,490.5m,,,,
0.355,493.9m,,,,
0.356,493.9m,,,,
0.357,490.5m,,,,
0.358,493.9m,,,,
0.359,500.8m,,,,
0.36,483.6m,,,,
0.361,490.5m,,,,
0.362,483.6m,,,,
0.363,490.5m,,,,
0.364,500.8m,,,,
0.365,497.4m,,,,
0.366,487m,,,,
0.367,504.3m,,,,
0.368,497.4m,,,,
0.369,493.9m,,,,
0.37,497.4m,,,,
0.371,497.4m,,,,
0.372,490.5m,,,,
0.373,497.4m,,,,
0.374,493.9m,,,,
0.375,500.8m,,,,
0.376,500.8m,,,,
0.377,497.4m,,,,
0.378,490.5m,,,,
0.379,500.8m,,,,
0.38,511.2m,,,,
0.381,493.9m,,,,
0.382,490.5m,,,,
0.383,490.5m,,,,
0.384,490.5m,,,,
0.385,493.9m,,,,
0.386,497.4m,,,,
0.387,497.4m,,,,
0.388,490.5m,,,,
0.389,500.8m,,,,
0.39,487m,,,,
0.391,487m,,,,
0.392,490.5m,,,,
0.393,493.9m,,,,
0.394,487m,,,,
0.395,497.4m,,,,
0.396,483.6m,,,,
0.397,493.9m,,,,
0.398,490.5m,,,,
0.399,500.8m,,,,
0.4,493.9m,,,,
0.401,497.4m,,,,
0.402,493.9m,,,,
0.403,493.9m,,,,
0.404,490.5m,,,,
