Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,1850,N
0,794.2m,,,,
0.001,804.6m,,,,
0.002,794.2m,,,,
0.003,797.7m,,,,
0.004,794.2m,,,,
0.005,787.3m,,,,
0.006,797.7m,,,,
0.007,794.2m,,,,
0.008,801.1m,,,,
0.009,797.7m,,,,
0.01,794.2m,,,,
0.011,780.4m,,,,
0.012,808m,,,,
0.013,797.7m,,,,
0.014,797.7m,,,,
0.015,794.2m,,,,
0.016,790.8m,,,,
0.017,804.6m,,,,
0.018,801.1m,,,,
0.019,787.3m,,,,
0.02,794.2m,,,,
0.021,797.7m,,,,
0.022,801.1m,,,,
0.023,794.2m,,,,
0.024,801.1m,,,,
0.025,794.2m,,,,
0.026,801.1m,,,,
0.027,797.7m,,,,
0.028,797.7m,,,,
0.029,797.7m,,,,
0.03,794.2m,,,,
0.031,801.1m,,,,
0.032,808m,,,,
0.033,797.7m,,,,
0.034,801.1m,,,,
0.035,801.1m,,,,
0.036,797.7m,,,,
0.037,790.8m,,,,
0.038,801.1m,,,,
0.039,797.7m,,,,
0.04,801.1m,,,,
0.041,797.7m,,,,
0.042,804.6m,,,,
0.043,801.1m,,,,
0.044,801.1m,,,,
0.045,804.6m,,,,
0.046,801.1m,,,,
0.047,794.2m,,,,
0.048,797.7m,,,,
0.049,804.6m,,,,
0.05,808m,,,,
0.051,808m,,,,
0.052,797.7m,,,,
0.053,790.8m,,,,
0.054,804.6m,,,,
0.055,804.6m,,,,
0.056,797.7m,,,,
0.057,797.7m,,,,
0.058,794.2m,,,,
0.059,797.7m,,,,
0.06,804.6m,,,,
0.061,801.1m,,,,
0.062,797.7m,,,,
0.063,797.7m,,,,
0.064,797.7m,,,,
0.065,797.7m,,,,
0.066,804.6m,,,,
0.067,790.8m,,,,
0.068,801.1m,,,,
0.069,797.7m,,,,
0.07,794.2m,,,,
0.071,801.1m,,,,
0.072,794.2m,,,,
0.073,790.8m,,,,
0.074,787.3m,,,,
0.075,801.1m,,,,
0.076,797.7m,,,,
0.077,790.8m,,,,
0.078,790.8m,,,,
0.079,797.7m,,,,
0.08,804.6m,,,,
0.081,790.8m,,,,
0.082,797.7m,,,,
0.083,797.7m,,,,
0.084,804.6m,,,,
0.085,790.8m,,,,
0.086,787.3m,,,,
0.087,794.2m,,,,
0.088,794.2m,,,,
0.089,801.1m,,,,
0.09,794.2m,,,,
0.091,801.1m,,,,
0.092,804.6m,,,,
