Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,1345,N
0,559.5m,,,,
0.001,549.2m,,,,
0.002,549.2m,,,,
0.003,559.5m,,,,
0.004,556.1m,,,,
0.005,563m,,,,
0.006,556.1m,,,,
0.007,566.4m,,,,
0.008,556.1m,,,,
0.009,549.2m,,,,
0.01,563m,,,,
0.011,563m,,,,
0.012,552.6m,,,,
0.013,563m,,,,
0.014,559.5m,,,,
0.015,556.1m,,,,
0.016,563m,,,,
0.017,556.1m,,,,
0.018,542.2m,,,,
0.019,566.4m,,,,
0.02,563m,,,,
0.021,563m,,,,
0.022,556.1m,,,,
0.023,556.1m,,,,
0.024,556.1m,,,,
0.025,559.5m,,,,
0.026,552.6m,,,,
0.027,549.2m,,,,
0.028,552.6m,,,,
0.029,569.9m,,,,
0.03,556.1m,,,,
0.031,549.2m,,,,
0.032,566.4m,,,,
0.033,559.5m,,,,
0.034,549.2m,,,,
0.035,552.6m,,,,
0.036,549.2m,,,,
0.037,549.2m,,,,
0.038,549.2m,,,,
0.039,545.7m,,,,
0.04,559.5m,,,,
0.041,556.1m,,,,
0.042,559.5m,,,,
0.043,563m,,,,
0.044,552.6m,,,,
0.045,559.5m,,,,
0.046,563m,,,,
0.047,566.4m,,,,
0.048,556.1m,,,,
0.049,563m,,,,
0.05,559.5m,,,,
0.051,556.1m,,,,
0.052,556.1m,,,,
0.053,556.1m,,,,
0.054,552.6m,,,,
0.055,556.1m,,,,
0.056,566.4m,,,,
0.057,549.2m,,,,
0.058,545.7m,,,,
0.059,566.4m,,,,
0.06,552.6m,,,,
0.061,559.5m,,,,
0.062,549.2m,,,,
0.063,556.1m,,,,
0.064,552.6m,,,,
0.065,545.7m,,,,
0.066,556.1m,,,,
0.067,556.1m,,,,
0.068,552.6m,,,,
0.069,563m,,,,
0.07,556.1m,,,,
0.071,563m,,,,
0.072,566.4m,,,,
0.073,563m,,,,
0.074,556.1m,,,,
0.075,556.1m,,,,
0.076,566.4m,,,,
0.077,549.2m,,,,
0.078,552.6m,,,,
0.079,552.6m,,,,
0.08,563m,,,,
0.081,556.1m,,,,
0.082,552.6m,,,,
0.083,549.2m,,,,
0.084,556.1m,,,,
0.085,542.2m,,,,
0.086,569.9m,,,,
0.087,552.6m,,,,
0.088,552.6m,,,,
0.089,559.5m,,,,
0.09,552.6m,,,,
0.091,552.6m,,,,
0.092,556.1m,,,,
0.093,556.1m,,,,
0.094,563m,,,,
0.095,563m,,,,
0.096,563m,,,,
0.097,545.7m,,,,
0.098,559.5m,,,,
0.099,549.2m,,,,
0.1,563m,,,,
0.101,545.7m,,,,
0.102,549.2m,,,,
0.103,563m,,,,
0.104,563m,,,,
0.105,566.4m,,,,
0.106,552.6m,,,,
0.107,559.5m,,,,
0.108,549.2m,,,,
0.109,552.6m,,,,
0.11,545.7m,,,,
0.111,556.1m,,,,
0.112,556.1m,,,,
0.113,559.5m,,,,
0.114,549.2m,,,,
0.115,552.6m,,,,
0.116,549.2m,,,,
0.117,563m,,,,
0.118,559.5m,,,,
0.119,549.2m,,,,
0.12,556.1m,,,,
0.121,545.7m,,,,
0.122,559.5m,,,,
0.123,556.1m,,,,
0.124,559.5m,,,,
0.125,556.1m,,,,
0.126,549.2m,,,,
0.127,556.1m,,,,
0.128,549.2m,,,,
0.129,549.2m,,,,
0.13,559.5m,,,,
0.131,556.1m,,,,
0.132,552.6m,,,,
0.133,552.6m,,,,
