Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,2100,N
0,911.6m,,,,
0.001,911.6m,,,,
0.002,928.8m,,,,
0.003,911.6m,,,,
0.004,915m,,,,
0.005,921.9m,,,,
0.006,918.5m,,,,
0.007,915m,,,,
0.008,911.6m,,,,
0.009,921.9m,,,,
0.01,921.9m,,,,
0.011,925.4m,,,,
0.012,925.4m,,,,
0.013,915m,,,,
0.014,921.9m,,,,
0.015,939.2m,,,,
0.016,915m,,,,
0.017,911.6m,,,,
0.018,915m,,,,
0.019,918.5m,,,,
0.02,932.3m,,,,
0.021,921.9m,,,,
0.022,921.9m,,,,
0.023,918.5m,,,,
0.024,915m,,,,
0.025,918.5m,,,,
0.026,915m,,,,
0.027,918.5m,,,,
0.028,928.8m,,,,
0.029,925.4m,,,,
0.03,928.8m,,,,
0.031,928.8m,,,,
0.032,915m,,,,
0.033,925.4m,,,,
0.034,897.8m,,,,
0.035,918.5m,,,,
0.036,908.1m,,,,
0.037,918.5m,,,,
0.038,921.9m,,,,
0.039,921.9m,,,,
0.04,918.5m,,,,
0.041,918.5m,,,,
0.042,925.4m,,,,
0.043,921.9m,,,,
0.044,921.9m,,,,
0.045,918.5m,,,,
0.046,925.4m,,,,
0.047,918.5m,,,,
0.048,921.9m,,,,
0.049,918.5m,,,,
0.05,911.6m,,,,
0.051,915m,,,,
0.052,921.9m,,,,
0.053,918.5m,,,,
0.054,915m,,,,
0.055,928.8m,,,,
0.056,925.4m,,,,
0.057,921.9m,,,,
0.058,921.9m,,,,
0.059,918.5m,,,,
0.06,918.5m,,,,
0.061,921.9m,,,,
0.062,921.9m,,,,
0.063,918.5m,,,,
0.064,921.9m,,,,
0.065,921.9m,,,,
0.066,925.4m,,,,
0.067,928.8m,,,,
0.068,921.9m,,,,
0.069,915m,,,,
0.07,921.9m,,,,
0.071,921.9m,,,,
0.072,918.5m,,,,
0.073,921.9m,,,,
0.074,908.1m,,,,
0.075,928.8m,,,,
0.076,921.9m,,,,
0.077,921.9m,,,,
0.078,925.4m,,,,
0.079,921.9m,,,,
0.08,915m,,,,
0.081,915m,,,,
0.082,921.9m,,,,
0.083,921.9m,,,,
0.084,915m,,,,
0.085,915m,,,,
0.086,918.5m,,,,
0.087,915m,,,,
0.088,911.6m,,,,
0.089,921.9m,,,,
0.09,918.5m,,,,
0.091,925.4m,,,,
0.092,925.4m,,,,
0.093,918.5m,,,,
0.094,925.4m,,,,
0.095,911.6m,,,,
0.096,908.1m,,,,
0.097,908.1m,,,,
0.098,918.5m,,,,
0.099,921.9m,,,,
0.1,915m,,,,
0.101,921.9m,,,,
0.102,925.4m,,,,
0.103,915m,,,,
0.104,911.6m,,,,
0.105,911.6m,,,,
0.106,925.4m,,,,
0.107,918.5m,,,,
0.108,925.4m,,,,
0.109,921.9m,,,,
0.11,921.9m,,,,
0.111,921.9m,,,,
0.112,918.5m,,,,
0.113,918.5m,,,,
0.114,915m,,,,
0.115,921.9m,,,,
0.116,915m,,,,
0.117,921.9m,,,,
0.118,921.9m,,,,
0.119,928.8m,,,,
0.12,921.9m,,,,
0.121,921.9m,,,,
0.122,921.9m,,,,
0.123,915m,,,,
0.124,925.4m,,,,
0.125,925.4m,,,,
0.126,932.3m,,,,
0.127,925.4m,,,,
0.128,921.9m,,,,
0.129,915m,,,,
0.13,908.1m,,,,
0.131,915m,,,,
0.132,921.9m,,,,
0.133,925.4m,,,,
0.134,925.4m,,,,
0.135,915m,,,,
0.136,915m,,,,
0.137,915m,,,,
0.138,915m,,,,
0.139,928.8m,,,,
0.14,921.9m,,,,
0.141,918.5m,,,,
0.142,921.9m,,,,
0.143,928.8m,,,,
0.144,925.4m,,,,
0.145,918.5m,,,,
0.146,921.9m,,,,
0.147,921.9m,,,,
0.148,911.6m,,,,
