Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,450,N
0,131.5m,,,,
0.001,128.1m,,,,
0.002,131.5m,,,,
0.003,128.1m,,,,
0.004,135m,,,,
0.005,131.5m,,,,
0.006,135m,,,,
0.007,124.6m,,,,
0.008,131.5m,,,,
0.009,135m,,,,
0.01,138.4m,,,,
0.011,131.5m,,,,
0.012,128.1m,,,,
0.013,138.4m,,,,
0.014,128.1m,,,,
0.015,128.1m,,,,
0.016,131.5m,,,,
0.017,135m,,,,
0.018,121.2m,,,,
0.019,135m,,,,
0.02,124.6m,,,,
0.021,128.1m,,,,
0.022,128.1m,,,,
0.023,135m,,,,
0.024,131.5m,,,,
0.025,131.5m,,,,
0.026,145.3m,,,,
0.027,131.5m,,,,
0.028,124.6m,,,,
0.029,121.2m,,,,
0.03,128.1m,,,,
0.031,131.5m,,,,
0.032,131.5m,,,,
0.033,131.5m,,,,
0.034,121.2m,,,,
0.035,124.6m,,,,
0.036,131.5m,,,,
0.037,138.4m,,,,
0.038,135m,,,,
0.039,135m,,,,
0.04,131.5m,,,,
0.041,131.5m,,,,
0.042,135m,,,,
0.043,128.1m,,,,
0.044,124.6m,,,,
0.045,131.5m,,,,
0.046,131.5m,,,,
0.047,124.6m,,,,
0.048,131.5m,,,,
0.049,124.6m,,,,
0.05,121.2m,,,,
0.051,128.1m,,,,
0.052,124.6m,,,,
0.053,131.5m,,,,
0.054,131.5m,,,,
0.055,128.1m,,,,
0.056,135m,,,,
0.057,131.5m,,,,
0.058,138.4m,,,,
0.059,131.5m,,,,
0.06,131.5m,,,,
0.061,131.5m,,,,
0.062,141.9m,,,,
0.063,141.9m,,,,
0.064,135m,,,,
0.065,121.2m,,,,
0.066,128.1m,,,,
0.067,124.6m,,,,
0.068,131.5m,,,,
0.069,131.5m,,,,
0.07,128.1m,,,,
0.071,128.1m,,,,
0.072,131.5m,,,,
0.073,117.7m,,,,
0.074,124.6m,,,,
0.075,131.5m,,,,
0.076,124.6m,,,,
0.077,135m,,,,
0.078,131.5m,,,,
0.079,128.1m,,,,
0.08,135m,,,,
0.081,131.5m,,,,
0.082,135m,,,,
0.083,128.1m,,,,
0.084,131.5m,,,,
0.085,135m,,,,
0.086,135m,,,,
0.087,131.5m,,,,
0.088,128.1m,,,,
0.089,128.1m,,,,
0.09,128.1m,,,,
0.091,124.6m,,,,
0.092,121.2m,,,,
0.093,131.5m,,,,
0.094,131.5m,,,,
0.095,128.1m,,,,
0.096,128.1m,,,,
0.097,131.5m,,,,
0.098,128.1m,,,,
0.099,124.6m,,,,
0.1,131.5m,,,,
0.101,131.5m,,,,
0.102,124.6m,,,,
0.103,128.1m,,,,
0.104,138.4m,,,,
0.105,131.5m,,,,
0.106,128.1m,,,,
0.107,128.1m,,,,
0.108,135m,,,,
0.109,135m,,,,
0.11,121.2m,,,,
0.111,128.1m,,,,
0.112,128.1m,,,,
0.113,124.6m,,,,
0.114,121.2m,,,,
0.115,131.5m,,,,
0.116,131.5m,,,,
0.117,128.1m,,,,
0.118,135m,,,,
0.119,124.6m,,,,
0.12,124.6m,,,,
0.121,131.5m,,,,
0.122,124.6m,,,,
0.123,128.1m,,,,
0.124,128.1m,,,,
0.125,135m,,,,
0.126,128.1m,,,,
0.127,128.1m,,,,
0.128,131.5m,,,,
0.129,141.9m,,,,
0.13,128.1m,,,,
0.131,131.5m,,,,
0.132,131.5m,,,,
0.133,145.3m,,,,
0.134,128.1m,,,,
0.135,128.1m,,,,
0.136,128.1m,,,,
0.137,124.6m,,,,
0.138,128.1m,,,,
0.139,141.9m,,,,
0.14,135m,,,,
0.141,128.1m,,,,
0.142,124.6m,,,,
0.143,121.2m,,,,
0.144,138.4m,,,,
0.145,124.6m,,,,
0.146,131.5m,,,,
0.147,131.5m,,,,
0.148,131.5m,,,,
0.149,131.5m,,,,
0.15,135m,,,,
0.151,131.5m,,,,
0.152,124.6m,,,,
0.153,124.6m,,,,
0.154,128.1m,,,,
0.155,131.5m,,,,
0.156,131.5m,,,,
0.157,131.5m,,,,
0.158,138.4m,,,,
0.159,135m,,,,
0.16,131.5m,,,,
0.161,124.6m,,,,
0.162,135m,,,,
0.163,138.4m,,,,
0.164,135m,,,,
0.165,131.5m,,,,
0.166,121.2m,,,,
0.167,131.5m,,,,
0.168,131.5m,,,,
0.169,138.4m,,,,
0.17,128.1m,,,,
0.171,135m,,,,
0.172,128.1m,,,,
0.173,124.6m,,,,
0.174,128.1m,,,,
0.175,131.5m,,,,
0.176,128.1m,,,,
0.177,128.1m,,,,
0.178,135m,,,,
0.179,128.1m,,,,
0.18,128.1m,,,,
0.181,135m,,,,
0.182,128.1m,,,,
0.183,124.6m,,,,
0.184,121.2m,,,,
0.185,131.5m,,,,
0.186,128.1m,,,,
0.187,121.2m,,,,
0.188,128.1m,,,,
0.189,121.2m,,,,
0.19,131.5m,,,,
0.191,131.5m,,,,
0.192,128.1m,,,,
0.193,124.6m,,,,
0.194,128.1m,,,,
0.195,135m,,,,
0.196,141.9m,,,,
0.197,128.1m,,,,
0.198,138.4m,,,,
0.199,131.5m,,,,
0.2,124.6m,,,,
0.201,124.6m,,,,
0.202,131.5m,,,,
0.203,131.5m,,,,
0.204,121.2m,,,,
0.205,131.5m,,,,
0.206,131.5m,,,,
0.207,131.5m,,,,
0.208,117.7m,,,,
0.209,128.1m,,,,
0.21,131.5m,,,,
0.211,131.5m,,,,
0.212,128.1m,,,,
