Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,0,N
0.226,-82.48m,,,,
0.227,-79.03m,,,,
0.228,-85.93m,,,,
0.229,-82.48m,,,,
0.23,-79.03m,,,,
0.231,-75.57m,,,,
0.232,-75.57m,,,,
0.233,-79.03m,,,,
0.234,-89.38m,,,,
0.235,-89.38m,,,,
0.236,-82.48m,,,,
0.237,-82.48m,,,,
0.238,-85.93m,,,,
0.239,-75.57m,,,,
0.24,-79.03m,,,,
0.241,-96.28m,,,,
0.242,-82.48m,,,,
0.243,-72.12m,,,,
0.244,-85.93m,,,,
0.245,-85.93m,,,,
0.246,-75.57m,,,,
0.247,-75.57m,,,,
0.248,-79.03m,,,,
0.249,-75.57m,,,,
0.25,-82.48m,,,,
0.251,-79.03m,,,,
0.252,-82.48m,,,,
0.253,-79.03m,,,,
0.254,-79.03m,,,,
0.255,-85.93m,,,,
0.256,-72.12m,,,,
0.257,-82.48m,,,,
0.258,-82.48m,,,,
0.259,-82.48m,,,,
0.26,-85.93m,,,,
0.261,-65.22m,,,,
0.262,-85.93m,,,,
0.263,-72.12m,,,,
0.264,-79.03m,,,,
0.265,-75.57m,,,,
0.266,-82.48m,,,,
0.267,-85.93m,,,,
0.268,-79.03m,,,,
0.269,-82.48m,,,,
0.27,-85.93m,,,,
0.271,-92.83m,,,,
0.272,-79.03m,,,,
0.273,-89.38m,,,,
0.274,-85.93m,,,,
0.275,-89.38m,,,,
0.276,-82.48m,,,,
0.277,-82.48m,,,,
0.278,-89.38m,,,,
0.279,-82.48m,,,,
0.28,-92.83m,,,,
0.281,-85.93m,,,,
0.282,-85.93m,,,,
0.283,-85.93m,,,,
0.284,-75.57m,,,,
0.285,-82.48m,,,,
0.286,-82.48m,,,,
0.287,-82.48m,,,,
0.288,-79.03m,,,,
0.289,-92.83m,,,,
0.29,-79.03m,,,,
0.291,-89.38m,,,,
0.292,-89.38m,,,,
0.293,-89.38m,,,,
0.294,-92.83m,,,,
0.295,-89.38m,,,,
0.296,-85.93m,,,,
0.297,-79.03m,,,,
0.298,-75.57m,,,,
0.299,-89.38m,,,,
0.3,-82.48m,,,,
0.301,-85.93m,,,,
0.302,-85.93m,,,,
0.303,-82.48m,,,,
0.304,-85.93m,,,,
0.305,-82.48m,,,,
0.306,-79.03m,,,,
0.307,-79.03m,,,,
0.308,-85.93m,,,,
0.309,-89.38m,,,,
0.31,-82.48m,,,,
0.311,-79.03m,,,,
0.312,-75.57m,,,,
0.313,-85.93m,,,,
0.314,-85.93m,,,,
0.315,-82.48m,,,,
0.316,-79.03m,,,,
0.317,-85.93m,,,,
0.318,-85.93m,,,,
0.319,-79.03m,,,,
0.32,-85.93m,,,,
0.321,-85.93m,,,,
0.322,-79.03m,,,,
0.323,-82.48m,,,,
0.324,-82.48m,,,,
0.325,-79.03m,,,,
0.326,-82.48m,,,,
0.327,-79.03m,,,,
0.328,-85.93m,,,,
0.329,-82.48m,,,,
0.33,-82.48m,,,,
0.331,-79.03m,,,,
0.332,-79.03m,,,,
0.333,-72.12m,,,,
0.334,-85.93m,,,,
0.335,-75.57m,,,,
0.336,-85.93m,,,,
0.337,-85.93m,,,,
0.338,-79.03m,,,,
0.339,-79.03m,,,,
0.34,-82.48m,,,,
0.341,-79.03m,,,,
0.342,-85.93m,,,,
0.343,-82.48m,,,,
0.344,-89.38m,,,,
0.345,-82.48m,,,,
0.346,-82.48m,,,,
0.347,-72.12m,,,,
0.348,-89.38m,,,,
0.349,-82.48m,,,,
0.35,-89.38m,,,,
0.351,-72.12m,,,,
