Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,1715,N
0,732.1m,,,,
0.001,732.1m,,,,
0.002,735.5m,,,,
0.003,732.1m,,,,
0.004,732.1m,,,,
0.005,742.4m,,,,
0.006,739m,,,,
0.007,749.3m,,,,
0.008,732.1m,,,,
0.009,742.4m,,,,
0.01,728.6m,,,,
0.011,742.4m,,,,
0.012,735.5m,,,,
0.013,739m,,,,
0.014,732.1m,,,,
0.015,735.5m,,,,
0.016,735.5m,,,,
0.017,739m,,,,
0.018,739m,,,,
0.019,739m,,,,
0.02,732.1m,,,,
0.021,728.6m,,,,
0.022,728.6m,,,,
0.023,728.6m,,,,
0.024,745.9m,,,,
0.025,732.1m,,,,
0.026,742.4m,,,,
0.027,728.6m,,,,
0.028,739m,,,,
0.029,728.6m,,,,
0.03,728.6m,,,,
0.031,732.1m,,,,
0.032,732.1m,,,,
0.033,735.5m,,,,
0.034,739m,,,,
0.035,735.5m,,,,
0.036,735.5m,,,,
0.037,728.6m,,,,
0.038,732.1m,,,,
0.039,739m,,,,
0.04,739m,,,,
0.041,742.4m,,,,
0.042,728.6m,,,,
0.043,732.1m,,,,
0.044,732.1m,,,,
0.045,732.1m,,,,
0.046,728.6m,,,,
0.047,739m,,,,
0.048,745.9m,,,,
0.049,735.5m,,,,
0.05,728.6m,,,,
0.051,728.6m,,,,
0.052,735.5m,,,,
0.053,735.5m,,,,
0.054,728.6m,,,,
0.055,728.6m,,,,
0.056,728.6m,,,,
0.057,735.5m,,,,
0.058,732.1m,,,,
0.059,728.6m,,,,
0.06,728.6m,,,,
0.061,725.2m,,,,
0.062,735.5m,,,,
0.063,732.1m,,,,
0.064,728.6m,,,,
0.065,728.6m,,,,
0.066,735.5m,,,,
0.067,725.2m,,,,
0.068,732.1m,,,,
0.069,732.1m,,,,
0.07,732.1m,,,,
0.071,742.4m,,,,
0.072,728.6m,,,,
0.073,739m,,,,
0.074,742.4m,,,,
0.075,735.5m,,,,
0.076,739m,,,,
0.077,732.1m,,,,
0.078,742.4m,,,,
0.079,732.1m,,,,
0.08,735.5m,,,,
0.081,728.6m,,,,
0.082,742.4m,,,,
0.083,732.1m,,,,
0.084,732.1m,,,,
0.085,739m,,,,
0.086,739m,,,,
0.087,728.6m,,,,
0.088,735.5m,,,,
0.089,739m,,,,
0.09,756.2m,,,,
0.091,732.1m,,,,
0.092,728.6m,,,,
0.093,742.4m,,,,
0.094,735.5m,,,,
0.095,739m,,,,
0.096,739m,,,,
0.097,742.4m,,,,
0.098,725.2m,,,,
0.099,742.4m,,,,
0.1,735.5m,,,,
0.101,739m,,,,
0.102,745.9m,,,,
0.103,732.1m,,,,
0.104,739m,,,,
0.105,742.4m,,,,
0.106,714.8m,,,,
0.107,728.6m,,,,
0.108,735.5m,,,,
0.109,732.1m,,,,
0.11,742.4m,,,,
0.111,735.5m,,,,
0.112,745.9m,,,,
0.113,735.5m,,,,
0.114,739m,,,,
0.115,728.6m,,,,
0.116,742.4m,,,,
0.117,735.5m,,,,
0.118,739m,,,,
0.119,735.5m,,,,
0.12,739m,,,,
0.121,735.5m,,,,
0.122,742.4m,,,,
0.123,735.5m,,,,
0.124,735.5m,,,,
0.125,739m,,,,
0.126,742.4m,,,,
0.127,739m,,,,
0.128,745.9m,,,,
0.129,745.9m,,,,
0.13,739m,,,,
0.131,728.6m,,,,
0.132,728.6m,,,,
0.133,728.6m,,,,
0.134,742.4m,,,,
0.135,732.1m,,,,
0.136,739m,,,,
0.137,745.9m,,,,
0.138,739m,,,,
0.139,732.1m,,,,
0.14,728.6m,,,,
0.141,739m,,,,
0.142,735.5m,,,,
0.143,742.4m,,,,
0.144,728.6m,,,,
0.145,725.2m,,,,
0.146,739m,,,,
0.147,739m,,,,
0.148,735.5m,,,,
0.149,739m,,,,
0.15,735.5m,,,,
0.151,728.6m,,,,
0.152,735.5m,,,,
0.153,735.5m,,,,
0.154,745.9m,,,,
0.155,739m,,,,
0.156,735.5m,,,,
0.157,728.6m,,,,
0.158,739m,,,,
0.159,721.7m,,,,
0.16,739m,,,,
0.161,735.5m,,,,
0.162,732.1m,,,,
0.163,745.9m,,,,
0.164,732.1m,,,,
0.165,739m,,,,
0.166,732.1m,,,,
0.167,735.5m,,,,
0.168,739m,,,,
0.169,739m,,,,
0.17,732.1m,,,,
0.171,732.1m,,,,
0.172,739m,,,,
0.173,739m,,,,
0.174,739m,,,,
0.175,745.9m,,,,
0.176,728.6m,,,,
0.177,732.1m,,,,
0.178,739m,,,,
0.179,749.3m,,,,
0.18,735.5m,,,,
0.181,732.1m,,,,
0.182,732.1m,,,,
0.183,732.1m,,,,
0.184,739m,,,,
0.185,735.5m,,,,
0.186,739m,,,,
0.187,725.2m,,,,
0.188,742.4m,,,,
0.189,739m,,,,
0.19,732.1m,,,,
0.191,732.1m,,,,
0.192,745.9m,,,,
0.193,732.1m,,,,
0.194,742.4m,,,,
0.195,728.6m,,,,
0.196,735.5m,,,,
0.197,732.1m,,,,
0.198,732.1m,,,,
0.199,732.1m,,,,
0.2,735.5m,,,,
0.201,732.1m,,,,
0.202,735.5m,,,,
0.203,735.5m,,,,
0.204,735.5m,,,,
0.205,735.5m,,,,
0.206,735.5m,,,,
0.207,745.9m,,,,
0.208,725.2m,,,,
0.209,732.1m,,,,
0.21,739m,,,,
0.211,725.2m,,,,
0.212,728.6m,,,,
0.213,728.6m,,,,
0.214,721.7m,,,,
0.215,735.5m,,,,
0.216,739m,,,,
0.217,742.4m,,,,
0.218,735.5m,,,,
0.219,739m,,,,
0.22,735.5m,,,,
0.221,745.9m,,,,
0.222,735.5m,,,,
0.223,732.1m,,,,
0.224,739m,,,,
0.225,735.5m,,,,
0.226,732.1m,,,,
0.227,732.1m,,,,
0.228,739m,,,,
0.229,739m,,,,
0.23,742.4m,,,,
0.231,725.2m,,,,
0.232,732.1m,,,,
0.233,735.5m,,,,
0.234,742.4m,,,,
0.235,728.6m,,,,
0.236,735.5m,,,,
0.237,742.4m,,,,
0.238,732.1m,,,,
0.239,739m,,,,
0.24,742.4m,,,,
0.241,732.1m,,,,
0.242,739m,,,,
0.243,745.9m,,,,
0.244,739m,,,,
0.245,742.4m,,,,
0.246,732.1m,,,,
0.247,728.6m,,,,
0.248,728.6m,,,,
0.249,739m,,,,
0.25,728.6m,,,,
0.251,721.7m,,,,
0.252,735.5m,,,,
0.253,735.5m,,,,
0.254,749.3m,,,,
0.255,735.5m,,,,
0.256,742.4m,,,,
0.257,739m,,,,
0.258,735.5m,,,,
0.259,718.3m,,,,
0.26,735.5m,,,,
0.261,742.4m,,,,
0.262,739m,,,,
0.263,735.5m,,,,
0.264,735.5m,,,,
0.265,735.5m,,,,
0.266,735.5m,,,,
0.267,728.6m,,,,
