Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,913,N
0,349m,,,,
0.001,349m,,,,
0.002,352.4m,,,,
0.003,352.4m,,,,
0.004,345.5m,,,,
0.005,342.1m,,,,
0.006,345.5m,,,,
0.007,352.4m,,,,
0.008,345.5m,,,,
0.009,352.4m,,,,
0.01,345.5m,,,,
0.011,345.5m,,,,
0.012,352.4m,,,,
0.013,338.6m,,,,
0.014,352.4m,,,,
0.015,355.9m,,,,
0.016,342.1m,,,,
0.017,342.1m,,,,
0.018,338.6m,,,,
0.019,345.5m,,,,
0.02,355.9m,,,,
0.021,345.5m,,,,
0.022,338.6m,,,,
0.023,349m,,,,
0.024,352.4m,,,,
0.025,352.4m,,,,
0.026,345.5m,,,,
0.027,352.4m,,,,
0.028,342.1m,,,,
0.029,345.5m,,,,
0.03,352.4m,,,,
0.031,352.4m,,,,
0.032,345.5m,,,,
0.033,352.4m,,,,
0.034,349m,,,,
0.035,345.5m,,,,
0.036,338.6m,,,,
0.037,352.4m,,,,
0.038,349m,,,,
0.039,349m,,,,
0.04,352.4m,,,,
0.041,349m,,,,
0.042,349m,,,,
0.043,352.4m,,,,
0.044,349m,,,,
0.045,345.5m,,,,
0.046,349m,,,,
0.047,349m,,,,
0.048,362.8m,,,,
0.049,345.5m,,,,
0.05,355.9m,,,,
0.051,349m,,,,
0.052,362.8m,,,,
0.053,349m,,,,
0.054,345.5m,,,,
0.055,349m,,,,
0.056,345.5m,,,,
0.057,352.4m,,,,
0.058,362.8m,,,,
0.059,342.1m,,,,
0.06,349m,,,,
0.061,331.7m,,,,
0.062,355.9m,,,,
0.063,352.4m,,,,
0.064,349m,,,,
0.065,338.6m,,,,
0.066,352.4m,,,,
0.067,345.5m,,,,
0.068,345.5m,,,,
0.069,345.5m,,,,
0.07,355.9m,,,,
0.071,349m,,,,
0.072,355.9m,,,,
0.073,355.9m,,,,
0.074,345.5m,,,,
0.075,352.4m,,,,
0.076,345.5m,,,,
0.077,349m,,,,
0.078,352.4m,,,,
0.079,345.5m,,,,
0.08,355.9m,,,,
0.081,349m,,,,
0.082,349m,,,,
0.083,362.8m,,,,
0.084,349m,,,,
0.085,342.1m,,,,
0.086,359.3m,,,,
0.087,352.4m,,,,
0.088,352.4m,,,,
0.089,352.4m,,,,
0.09,345.5m,,,,
0.091,349m,,,,
0.092,349m,,,,
0.093,355.9m,,,,
0.094,359.3m,,,,
0.095,366.2m,,,,
0.096,355.9m,,,,
0.097,352.4m,,,,
0.098,352.4m,,,,
0.099,349m,,,,
0.1,349m,,,,
0.101,338.6m,,,,
0.102,355.9m,,,,
0.103,338.6m,,,,
0.104,349m,,,,
0.105,359.3m,,,,
0.106,349m,,,,
0.107,352.4m,,,,
0.108,349m,,,,
0.109,345.5m,,,,
0.11,355.9m,,,,
0.111,355.9m,,,,
0.112,352.4m,,,,
0.113,349m,,,,
0.114,359.3m,,,,
0.115,349m,,,,
0.116,359.3m,,,,
0.117,352.4m,,,,
0.118,349m,,,,
0.119,355.9m,,,,
0.12,352.4m,,,,
0.121,352.4m,,,,
0.122,355.9m,,,,
0.123,352.4m,,,,
0.124,359.3m,,,,
0.125,349m,,,,
0.126,359.3m,,,,
0.127,352.4m,,,,
0.128,335.2m,,,,
0.129,366.2m,,,,
0.13,355.9m,,,,
0.131,359.3m,,,,
0.132,355.9m,,,,
0.133,342.1m,,,,
0.134,352.4m,,,,
0.135,352.4m,,,,
0.136,349m,,,,
0.137,342.1m,,,,
0.138,352.4m,,,,
0.139,345.5m,,,,
0.14,349m,,,,
0.141,355.9m,,,,
0.142,355.9m,,,,
0.143,349m,,,,
0.144,352.4m,,,,
0.145,352.4m,,,,
0.146,355.9m,,,,
0.147,349m,,,,
0.148,342.1m,,,,
0.149,349m,,,,
0.15,352.4m,,,,
0.151,352.4m,,,,
0.152,345.5m,,,,
0.153,349m,,,,
0.154,349m,,,,
0.155,342.1m,,,,
0.156,355.9m,,,,
0.157,342.1m,,,,
0.158,349m,,,,
0.159,355.9m,,,,
0.16,342.1m,,,,
0.161,342.1m,,,,
0.162,345.5m,,,,
0.163,349m,,,,
0.164,349m,,,,
0.165,335.2m,,,,
0.166,352.4m,,,,
0.167,345.5m,,,,
0.168,359.3m,,,,
0.169,352.4m,,,,
0.17,355.9m,,,,
0.171,352.4m,,,,
0.172,349m,,,,
0.173,352.4m,,,,
0.174,352.4m,,,,
0.175,349m,,,,
0.176,352.4m,,,,
0.177,359.3m,,,,
0.178,342.1m,,,,
0.179,355.9m,,,,
0.18,355.9m,,,,
0.181,349m,,,,
0.182,345.5m,,,,
0.183,345.5m,,,,
0.184,345.5m,,,,
0.185,342.1m,,,,
0.186,349m,,,,
0.187,345.5m,,,,
0.188,352.4m,,,,
0.189,352.4m,,,,
0.19,349m,,,,
0.191,352.4m,,,,
0.192,345.5m,,,,
0.193,342.1m,,,,
0.194,349m,,,,
0.195,345.5m,,,,
0.196,349m,,,,
0.197,338.6m,,,,
0.198,352.4m,,,,
0.199,352.4m,,,,
0.2,352.4m,,,,
0.201,355.9m,,,,
0.202,349m,,,,
0.203,342.1m,,,,
0.204,352.4m,,,,
0.205,345.5m,,,,
