Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,178,N
0,3.81m,,,,
0.001,-9.996m,,,,
0.002,3.81m,,,,
0.003,10.71m,,,,
0.004,358.6u,,,,
0.005,3.81m,,,,
0.006,7.262m,,,,
0.007,358.6u,,,,
0.008,-6.544m,,,,
0.009,3.81m,,,,
0.01,3.81m,,,,
0.011,-6.544m,,,,
0.012,358.6u,,,,
0.013,3.81m,,,,
0.014,7.262m,,,,
0.015,358.6u,,,,
0.016,3.81m,,,,
0.017,-3.093m,,,,
0.018,7.262m,,,,
0.019,-6.544m,,,,
0.02,358.6u,,,,
0.021,-3.093m,,,,
0.022,7.262m,,,,
0.023,-3.093m,,,,
0.024,7.262m,,,,
0.025,358.6u,,,,
0.026,3.81m,,,,
0.027,358.6u,,,,
0.028,-6.544m,,,,
0.029,-3.093m,,,,
0.03,358.6u,,,,
0.031,358.6u,,,,
0.032,358.6u,,,,
0.033,7.262m,,,,
0.034,-6.544m,,,,
0.035,-3.093m,,,,
0.036,3.81m,,,,
0.037,-3.093m,,,,
0.038,358.6u,,,,
0.039,-3.093m,,,,
0.04,3.81m,,,,
0.041,3.81m,,,,
0.042,-6.544m,,,,
0.043,358.6u,,,,
0.044,-6.544m,,,,
0.045,7.262m,,,,
0.046,7.262m,,,,
0.047,3.81m,,,,
0.048,3.81m,,,,
0.049,3.81m,,,,
0.05,3.81m,,,,
0.051,3.81m,,,,
0.052,17.62m,,,,
0.053,358.6u,,,,
0.054,-13.45m,,,,
0.055,-3.093m,,,,
0.056,7.262m,,,,
0.057,7.262m,,,,
0.058,10.71m,,,,
0.059,7.262m,,,,
0.06,-9.996m,,,,
0.061,-3.093m,,,,
0.062,7.262m,,,,
0.063,358.6u,,,,
0.064,-3.093m,,,,
0.065,358.6u,,,,
0.066,358.6u,,,,
0.067,14.16m,,,,
0.068,-9.996m,,,,
0.069,358.6u,,,,
0.07,-3.093m,,,,
0.071,358.6u,,,,
0.072,358.6u,,,,
0.073,7.262m,,,,
0.074,3.81m,,,,
0.075,-13.45m,,,,
0.076,-9.996m,,,,
0.077,7.262m,,,,
0.078,10.71m,,,,
0.079,3.81m,,,,
0.08,3.81m,,,,
0.081,3.81m,,,,
0.082,-6.544m,,,,
0.083,-9.996m,,,,
0.084,3.81m,,,,
0.085,3.81m,,,,
0.086,358.6u,,,,
0.087,358.6u,,,,
0.088,358.6u,,,,
0.089,3.81m,,,,
0.09,7.262m,,,,
0.091,-3.093m,,,,
0.092,-3.093m,,,,
0.093,-3.093m,,,,
0.094,-3.093m,,,,
0.095,358.6u,,,,
0.096,358.6u,,,,
0.097,3.81m,,,,
0.098,3.81m,,,,
0.099,3.81m,,,,
0.1,-3.093m,,,,
0.101,358.6u,,,,
0.102,-3.093m,,,,
0.103,7.262m,,,,
0.104,-9.996m,,,,
0.105,7.262m,,,,
0.106,358.6u,,,,
0.107,3.81m,,,,
0.108,358.6u,,,,
0.109,-6.544m,,,,
0.11,358.6u,,,,
0.111,3.81m,,,,
0.112,-6.544m,,,,
0.113,7.262m,,,,
0.114,3.81m,,,,
0.115,358.6u,,,,
0.116,-3.093m,,,,
0.117,3.81m,,,,
0.118,3.81m,,,,
0.119,3.81m,,,,
0.12,358.6u,,,,
0.121,358.6u,,,,
0.122,-3.093m,,,,
0.123,-9.996m,,,,
0.124,-3.093m,,,,
0.125,-6.544m,,,,
0.126,-3.093m,,,,
0.127,358.6u,,,,
0.128,3.81m,,,,
0.129,10.71m,,,,
0.13,358.6u,,,,
0.131,3.81m,,,,
0.132,7.262m,,,,
0.133,358.6u,,,,
0.134,3.81m,,,,
0.135,358.6u,,,,
