Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,283,N
0,52.13m,,,,
0.001,48.68m,,,,
0.002,52.13m,,,,
0.003,48.68m,,,,
0.004,45.23m,,,,
0.005,48.68m,,,,
0.006,55.58m,,,,
0.007,55.58m,,,,
0.008,45.23m,,,,
0.009,41.78m,,,,
0.01,45.23m,,,,
0.011,55.58m,,,,
0.012,52.13m,,,,
0.013,55.58m,,,,
0.014,55.58m,,,,
0.015,59.03m,,,,
0.016,41.78m,,,,
0.017,48.68m,,,,
0.018,48.68m,,,,
0.019,52.13m,,,,
0.02,62.49m,,,,
0.021,45.23m,,,,
0.022,48.68m,,,,
0.023,41.78m,,,,
0.024,55.58m,,,,
0.025,52.13m,,,,
0.026,48.68m,,,,
0.027,52.13m,,,,
0.028,52.13m,,,,
0.029,55.58m,,,,
0.03,48.68m,,,,
0.031,48.68m,,,,
0.032,45.23m,,,,
0.033,48.68m,,,,
0.034,52.13m,,,,
0.035,52.13m,,,,
0.036,45.23m,,,,
0.037,55.58m,,,,
0.038,41.78m,,,,
0.039,38.33m,,,,
0.04,48.68m,,,,
0.041,48.68m,,,,
0.042,38.33m,,,,
0.043,48.68m,,,,
0.044,52.13m,,,,
0.045,48.68m,,,,
0.046,55.58m,,,,
0.047,48.68m,,,,
0.048,41.78m,,,,
0.049,55.58m,,,,
0.05,52.13m,,,,
0.051,52.13m,,,,
0.052,55.58m,,,,
0.053,55.58m,,,,
0.054,52.13m,,,,
0.055,55.58m,,,,
0.056,48.68m,,,,
0.057,45.23m,,,,
0.058,52.13m,,,,
0.059,48.68m,,,,
0.06,59.03m,,,,
0.061,55.58m,,,,
0.062,59.03m,,,,
0.063,55.58m,,,,
0.064,55.58m,,,,
0.065,45.23m,,,,
0.066,45.23m,,,,
0.067,59.03m,,,,
0.068,48.68m,,,,
0.069,59.03m,,,,
0.07,52.13m,,,,
0.071,45.23m,,,,
0.072,59.03m,,,,
0.073,59.03m,,,,
0.074,55.58m,,,,
0.075,45.23m,,,,
0.076,48.68m,,,,
0.077,48.68m,,,,
0.078,52.13m,,,,
0.079,52.13m,,,,
0.08,62.49m,,,,
0.081,45.23m,,,,
0.082,55.58m,,,,
0.083,59.03m,,,,
0.084,45.23m,,,,
0.085,59.03m,,,,
0.086,55.58m,,,,
0.087,48.68m,,,,
0.088,55.58m,,,,
0.089,52.13m,,,,
0.09,62.49m,,,,
0.091,52.13m,,,,
0.092,55.58m,,,,
0.093,59.03m,,,,
0.094,52.13m,,,,
0.095,48.68m,,,,
0.096,65.94m,,,,
0.097,45.23m,,,,
0.098,48.68m,,,,
0.099,45.23m,,,,
0.1,62.49m,,,,
0.101,55.58m,,,,
0.102,52.13m,,,,
0.103,59.03m,,,,
0.104,52.13m,,,,
0.105,45.23m,,,,
0.106,55.58m,,,,
0.107,52.13m,,,,
0.108,52.13m,,,,
0.109,41.78m,,,,
0.11,48.68m,,,,
0.111,48.68m,,,,
0.112,48.68m,,,,
0.113,48.68m,,,,
0.114,45.23m,,,,
0.115,48.68m,,,,
0.116,41.78m,,,,
0.117,52.13m,,,,
0.118,48.68m,,,,
0.119,48.68m,,,,
0.12,45.23m,,,,
0.121,48.68m,,,,
0.122,48.68m,,,,
0.123,45.23m,,,,
0.124,45.23m,,,,
0.125,59.03m,,,,
0.126,45.23m,,,,
0.127,48.68m,,,,
0.128,38.33m,,,,
0.129,48.68m,,,,
0.13,52.13m,,,,
0.131,48.68m,,,,
0.132,52.13m,,,,
0.133,52.13m,,,,
0.134,55.58m,,,,
0.135,48.68m,,,,
0.136,48.68m,,,,
0.137,48.68m,,,,
0.138,52.13m,,,,
0.139,59.03m,,,,
0.14,48.68m,,,,
0.141,45.23m,,,,
0.142,45.23m,,,,
0.143,45.23m,,,,
0.144,48.68m,,,,
0.145,52.13m,,,,
0.146,48.68m,,,,
0.147,52.13m,,,,
0.148,41.78m,,,,
0.149,45.23m,,,,
0.15,45.23m,,,,
0.151,55.58m,,,,
0.152,52.13m,,,,
0.153,45.23m,,,,
0.154,45.23m,,,,
0.155,48.68m,,,,
0.156,55.58m,,,,
0.157,52.13m,,,,
0.158,45.23m,,,,
0.159,45.23m,,,,
0.16,41.78m,,,,
0.161,55.58m,,,,
0.162,59.03m,,,,
0.163,41.78m,,,,
0.164,52.13m,,,,
0.165,52.13m,,,,
0.166,45.23m,,,,
0.167,41.78m,,,,
0.168,59.03m,,,,
0.169,52.13m,,,,
0.17,38.33m,,,,
0.171,45.23m,,,,
0.172,41.78m,,,,
0.173,48.68m,,,,
0.174,45.23m,,,,
0.175,45.23m,,,,
0.176,59.03m,,,,
0.177,45.23m,,,,
0.178,52.13m,,,,
0.179,45.23m,,,,
0.18,48.68m,,,,
0.181,45.23m,,,,
0.182,59.03m,,,,
0.183,52.13m,,,,
0.184,48.68m,,,,
0.185,41.78m,,,,
0.186,48.68m,,,,
0.187,48.68m,,,,
0.188,55.58m,,,,
0.189,48.68m,,,,
0.19,55.58m,,,,
0.191,45.23m,,,,
0.192,48.68m,,,,
0.193,48.68m,,,,
0.194,48.68m,,,,
0.195,45.23m,,,,
0.196,45.23m,,,,
0.197,45.23m,,,,
0.198,59.03m,,,,
0.199,52.13m,,,,
0.2,59.03m,,,,
0.201,55.58m,,,,
0.202,59.03m,,,,
0.203,59.03m,,,,
0.204,59.03m,,,,
0.205,48.68m,,,,
0.206,55.58m,,,,
0.207,52.13m,,,,
0.208,41.78m,,,,
0.209,55.58m,,,,
0.21,45.23m,,,,
0.211,55.58m,,,,
0.212,52.13m,,,,
0.213,62.49m,,,,
0.214,48.68m,,,,
