Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,0,N
0,-79.03m,,,,
0.001,-75.57m,,,,
0.002,-75.57m,,,,
0.003,-65.22m,,,,
0.004,-79.03m,,,,
0.005,-79.03m,,,,
0.006,-72.12m,,,,
0.007,-82.48m,,,,
0.008,-75.57m,,,,
0.009,-72.12m,,,,
0.01,-75.57m,,,,
0.011,-79.03m,,,,
0.012,-75.57m,,,,
0.013,-82.48m,,,,
0.014,-79.03m,,,,
0.015,-75.57m,,,,
0.016,-82.48m,,,,
0.017,-75.57m,,,,
0.018,-89.38m,,,,
0.019,-82.48m,,,,
0.02,-82.48m,,,,
0.021,-82.48m,,,,
0.022,-79.03m,,,,
0.023,-79.03m,,,,
0.024,-82.48m,,,,
0.025,-79.03m,,,,
0.026,-79.03m,,,,
0.027,-79.03m,,,,
0.028,-72.12m,,,,
0.029,-82.48m,,,,
0.03,-65.22m,,,,
0.031,-85.93m,,,,
0.032,-72.12m,,,,
0.033,-79.03m,,,,
0.034,-68.67m,,,,
0.035,-65.22m,,,,
0.036,-72.12m,,,,
0.037,-82.48m,,,,
0.038,-79.03m,,,,
0.039,-58.32m,,,,
0.04,-82.48m,,,,
0.041,-72.12m,,,,
0.042,-72.12m,,,,
0.043,-72.12m,,,,
0.044,-75.57m,,,,
0.045,-89.38m,,,,
0.046,-72.12m,,,,
0.047,-68.67m,,,,
0.048,-85.93m,,,,
0.049,-68.67m,,,,
0.05,-75.57m,,,,
0.051,-75.57m,,,,
0.052,-82.48m,,,,
0.053,-72.12m,,,,
0.054,-79.03m,,,,
0.055,-79.03m,,,,
0.056,-82.48m,,,,
0.057,-75.57m,,,,
0.058,-72.12m,,,,
0.059,-75.57m,,,,
0.06,-75.57m,,,,
0.061,-82.48m,,,,
0.062,-72.12m,,,,
0.063,-72.12m,,,,
0.064,-79.03m,,,,
0.065,-75.57m,,,,
0.066,-79.03m,,,,
0.067,-85.93m,,,,
0.068,-79.03m,,,,
0.069,-82.48m,,,,
0.07,-82.48m,,,,
0.071,-75.57m,,,,
0.072,-82.48m,,,,
0.073,-75.57m,,,,
0.074,-75.57m,,,,
0.075,-75.57m,,,,
0.076,-82.48m,,,,
0.077,-79.03m,,,,
0.078,-75.57m,,,,
0.079,-65.22m,,,,
0.08,-79.03m,,,,
0.081,-85.93m,,,,
0.082,-79.03m,,,,
0.083,-85.93m,,,,
0.084,-72.12m,,,,
0.085,-72.12m,,,,
0.086,-72.12m,,,,
0.087,-75.57m,,,,
0.088,-79.03m,,,,
0.089,-79.03m,,,,
0.09,-85.93m,,,,
0.091,-72.12m,,,,
0.092,-75.57m,,,,
0.093,-75.57m,,,,
0.094,-82.48m,,,,
0.095,-72.12m,,,,
0.096,-75.57m,,,,
0.097,-72.12m,,,,
0.098,-82.48m,,,,
0.099,-72.12m,,,,
0.1,-82.48m,,,,
0.101,-75.57m,,,,
0.102,-79.03m,,,,
0.103,-68.67m,,,,
0.104,-82.48m,,,,
0.105,-75.57m,,,,
0.106,-75.57m,,,,
0.107,-82.48m,,,,
0.108,-72.12m,,,,
0.109,-68.67m,,,,
0.11,-75.57m,,,,
0.111,-79.03m,,,,
0.112,-79.03m,,,,
0.113,-82.48m,,,,
0.114,-82.48m,,,,
0.115,-72.12m,,,,
0.116,-75.57m,,,,
0.117,-79.03m,,,,
0.118,-75.57m,,,,
0.119,-79.03m,,,,
0.12,-68.67m,,,,
0.121,-65.22m,,,,
0.122,-72.12m,,,,
0.123,-75.57m,,,,
0.124,-75.57m,,,,
0.125,-79.03m,,,,
0.126,-82.48m,,,,
0.127,-79.03m,,,,
0.128,-72.12m,,,,
0.129,-68.67m,,,,
0.13,-82.48m,,,,
0.131,-82.48m,,,,
0.132,-75.57m,,,,
0.133,-75.57m,,,,
0.134,-82.48m,,,,
0.135,-85.93m,,,,
0.136,-89.38m,,,,
0.137,-72.12m,,,,
0.138,-72.12m,,,,
0.139,-72.12m,,,,
0.14,-72.12m,,,,
0.141,-79.03m,,,,
0.142,-82.48m,,,,
0.143,-75.57m,,,,
0.144,-75.57m,,,,
0.145,-82.48m,,,,
0.146,-75.57m,,,,
0.147,-72.12m,,,,
0.148,-75.57m,,,,
0.149,-75.57m,,,,
0.15,-75.57m,,,,
0.151,-75.57m,,,,
0.152,-75.57m,,,,
0.153,-79.03m,,,,
0.154,-72.12m,,,,
0.155,-72.12m,,,,
0.156,-75.57m,,,,
0.157,-82.48m,,,,
0.158,-75.57m,,,,
0.159,-82.48m,,,,
0.16,-68.67m,,,,
0.161,-75.57m,,,,
0.162,-85.93m,,,,
0.163,-68.67m,,,,
0.164,-89.38m,,,,
0.165,-79.03m,,,,
0.166,-79.03m,,,,
0.167,-72.12m,,,,
0.168,-72.12m,,,,
0.169,-85.93m,,,,
0.17,-82.48m,,,,
0.171,-79.03m,,,,
0.172,-79.03m,,,,
0.173,-75.57m,,,,
0.174,-79.03m,,,,
0.175,-79.03m,,,,
0.176,-82.48m,,,,
0.177,-75.57m,,,,
0.178,-79.03m,,,,
0.179,-89.38m,,,,
0.18,-72.12m,,,,
0.181,-72.12m,,,,
0.182,-82.48m,,,,
0.183,-85.93m,,,,
0.184,-72.12m,,,,
0.185,-68.67m,,,,
0.186,-82.48m,,,,
0.187,-79.03m,,,,
0.188,-72.12m,,,,
0.189,-75.57m,,,,
0.19,-75.57m,,,,
0.191,-75.57m,,,,
0.192,-75.57m,,,,
0.193,-75.57m,,,,
0.194,-75.57m,,,,
0.195,-72.12m,,,,
0.196,-79.03m,,,,
0.197,-61.77m,,,,
0.198,-82.48m,,,,
0.199,-82.48m,,,,
0.2,-82.48m,,,,
0.201,-68.67m,,,,
0.202,-68.67m,,,,
0.203,-85.93m,,,,
0.204,-82.48m,,,,
0.205,-68.67m,,,,
0.206,-75.57m,,,,
0.207,-79.03m,,,,
0.208,-79.03m,,,,
0.209,-79.03m,,,,
0.21,-75.57m,,,,
0.211,-72.12m,,,,
0.212,-68.67m,,,,
0.213,-75.57m,,,,
0.214,-75.57m,,,,
0.215,-72.12m,,,,
0.216,-82.48m,,,,
0.217,-75.57m,,,,
0.218,-75.57m,,,,
0.219,-75.57m,,,,
0.22,-85.93m,,,,
0.221,-82.48m,,,,
0.222,-82.48m,,,,
0.223,-82.48m,,,,
0.224,-75.57m,,,,
0.225,-75.57m,,,,
0.226,-75.57m,,,,
0.227,-72.12m,,,,
0.228,-75.57m,,,,
0.229,-79.03m,,,,
0.23,-79.03m,,,,
0.231,-75.57m,,,,
0.232,-82.48m,,,,
0.233,-96.28m,,,,
0.234,-92.83m,,,,
0.235,-79.03m,,,,
0.236,-79.03m,,,,
0.237,-89.38m,,,,
0.238,-79.03m,,,,
0.239,-89.38m,,,,
0.24,-68.67m,,,,
0.241,-82.48m,,,,
0.242,-61.77m,,,,
0.243,-82.48m,,,,
0.244,-79.03m,,,,
0.245,-75.57m,,,,
0.246,-79.03m,,,,
0.247,-75.57m,,,,
0.248,-82.48m,,,,
0.249,-72.12m,,,,
0.25,-92.83m,,,,
0.251,-79.03m,,,,
0.252,-79.03m,,,,
0.253,-79.03m,,,,
0.254,-75.57m,,,,
0.255,-79.03m,,,,
0.256,-75.57m,,,,
0.257,-75.57m,,,,
0.258,-79.03m,,,,
0.259,-75.57m,,,,
0.26,-75.57m,,,,
0.261,-82.48m,,,,
0.262,-68.67m,,,,
0.263,-82.48m,,,,
0.264,-72.12m,,,,
0.265,-72.12m,,,,
0.266,-68.67m,,,,
0.267,-75.57m,,,,
0.268,-75.57m,,,,
0.269,-75.57m,,,,
0.27,-79.03m,,,,
0.271,-85.93m,,,,
0.272,-89.38m,,,,
0.273,-85.93m,,,,
0.274,-89.38m,,,,
0.275,-79.03m,,,,
0.276,-79.03m,,,,
0.277,-72.12m,,,,
0.278,-79.03m,,,,
0.279,-72.12m,,,,
0.28,-82.48m,,,,
0.281,-85.93m,,,,
0.282,-75.57m,,,,
0.283,-79.03m,,,,
0.284,-79.03m,,,,
0.285,-61.77m,,,,
0.286,-65.22m,,,,
0.287,-72.12m,,,,
0.288,-75.57m,,,,
0.289,-82.48m,,,,
0.29,-79.03m,,,,
0.291,-65.22m,,,,
0.292,-68.67m,,,,
0.293,-75.57m,,,,
0.294,-79.03m,,,,
0.295,-82.48m,,,,
0.296,-82.48m,,,,
0.297,-65.22m,,,,
0.298,-72.12m,,,,
0.299,-85.93m,,,,
0.3,-68.67m,,,,
0.301,-75.57m,,,,
0.302,-68.67m,,,,
0.303,-82.48m,,,,
0.304,-82.48m,,,,
0.305,-82.48m,,,,
0.306,-75.57m,,,,
0.307,-68.67m,,,,
0.308,-79.03m,,,,
0.309,-79.03m,,,,
0.31,-65.22m,,,,
0.311,-72.12m,,,,
0.312,-82.48m,,,,
0.313,-72.12m,,,,
0.314,-68.67m,,,,
0.315,-79.03m,,,,
0.316,-75.57m,,,,
0.317,-79.03m,,,,
0.318,-75.57m,,,,
0.319,-65.22m,,,,
0.32,-79.03m,,,,
0.321,-82.48m,,,,
0.322,-72.12m,,,,
0.323,-72.12m,,,,
0.324,-79.03m,,,,
0.325,-75.57m,,,,
0.326,-75.57m,,,,
0.327,-79.03m,,,,
0.328,-79.03m,,,,
0.329,-89.38m,,,,
0.33,-82.48m,,,,
0.331,-82.48m,,,,
0.332,-85.93m,,,,
0.333,-75.57m,,,,
0.334,-82.48m,,,,
0.335,-72.12m,,,,
0.336,-72.12m,,,,
0.337,-72.12m,,,,
0.338,-68.67m,,,,
0.339,-75.57m,,,,
0.34,-92.83m,,,,
0.341,-79.03m,,,,
0.342,-79.03m,,,,
0.343,-68.67m,,,,
0.344,-75.57m,,,,
0.345,-82.48m,,,,
0.346,-75.57m,,,,
0.347,-79.03m,,,,
0.348,-82.48m,,,,
0.349,-79.03m,,,,
0.35,-75.57m,,,,
0.351,-68.67m,,,,
0.352,-72.12m,,,,
0.353,-89.38m,,,,
0.354,-72.12m,,,,
0.355,-85.93m,,,,
0.356,-79.03m,,,,
0.357,-72.12m,,,,
0.358,-72.12m,,,,
0.359,-79.03m,,,,
0.36,-75.57m,,,,
0.361,-68.67m,,,,
0.362,-75.57m,,,,
0.363,-75.57m,,,,
0.364,-72.12m,,,,
0.365,-72.12m,,,,
0.366,-72.12m,,,,
0.367,-79.03m,,,,
0.368,-79.03m,,,,
0.369,-72.12m,,,,
0.37,-79.03m,,,,
0.371,-75.57m,,,,
0.372,-85.93m,,,,
0.373,-79.03m,,,,
0.374,-79.03m,,,,
0.375,-75.57m,,,,
0.376,-58.32m,,,,
0.377,-79.03m,,,,
0.378,-75.57m,,,,
0.379,-82.48m,,,,
0.38,-68.67m,,,,
0.381,-75.57m,,,,
0.382,-72.12m,,,,
0.383,-75.57m,,,,
0.384,-75.57m,,,,
0.385,-82.48m,,,,
0.386,-82.48m,,,,
0.387,-72.12m,,,,
0.388,-85.93m,,,,
0.389,-75.57m,,,,
0.39,-75.57m,,,,
0.391,-82.48m,,,,
0.392,-85.93m,,,,
0.393,-72.12m,,,,
0.394,-72.12m,,,,
0.395,-79.03m,,,,
0.396,-72.12m,,,,
0.397,-85.93m,,,,
0.398,-72.12m,,,,
0.399,-85.93m,,,,
0.4,-75.57m,,,,
0.401,-82.48m,,,,
0.402,-65.22m,,,,
0.403,-75.57m,,,,
0.404,-79.03m,,,,
0.405,-79.03m,,,,
0.406,-72.12m,,,,
0.407,-75.57m,,,,
0.408,-82.48m,,,,
0.409,-79.03m,,,,
0.41,-79.03m,,,,
0.411,-82.48m,,,,
0.412,-72.12m,,,,
0.413,-72.12m,,,,
0.414,-65.22m,,,,
0.415,-82.48m,,,,
0.416,-75.57m,,,,
0.417,-82.48m,,,,
0.418,-72.12m,,,,
0.419,-82.48m,,,,
0.42,-72.12m,,,,
0.421,-72.12m,,,,
0.422,-72.12m,,,,
0.423,-72.12m,,,,
0.424,-79.03m,,,,
0.425,-75.57m,,,,
0.426,-75.57m,,,,
0.427,-72.12m,,,,
0.428,-79.03m,,,,
0.429,-79.03m,,,,
0.43,-79.03m,,,,
0.431,-82.48m,,,,
0.432,-85.93m,,,,
0.433,-82.48m,,,,
0.434,-75.57m,,,,
0.435,-72.12m,,,,
0.436,-72.12m,,,,
0.437,-79.03m,,,,
0.438,-75.57m,,,,
0.439,-79.03m,,,,
0.44,-72.12m,,,,
0.441,-79.03m,,,,
0.442,-75.57m,,,,
0.443,-79.03m,,,,
0.444,-82.48m,,,,
0.445,-79.03m,,,,
0.446,-72.12m,,,,
0.447,-75.57m,,,,
0.448,-75.57m,,,,
0.449,-75.57m,,,,
0.45,-82.48m,,,,
0.451,-75.57m,,,,
0.452,-79.03m,,,,
0.453,-85.93m,,,,
0.454,-75.57m,,,,
0.455,-79.03m,,,,
0.456,-82.48m,,,,
0.457,-72.12m,,,,
0.458,-85.93m,,,,
0.459,-85.93m,,,,
0.46,-79.03m,,,,
0.461,-79.03m,,,,
0.462,-79.03m,,,,
0.463,-79.03m,,,,
0.464,-75.57m,,,,
0.465,-82.48m,,,,
0.466,-79.03m,,,,
0.467,-85.93m,,,,
0.468,-82.48m,,,,
0.469,-85.93m,,,,
0.47,-75.57m,,,,
0.471,-75.57m,,,,
0.472,-85.93m,,,,
0.473,-82.48m,,,,
0.474,-75.57m,,,,
0.475,-85.93m,,,,
0.476,-75.57m,,,,
0.477,-79.03m,,,,
0.478,-75.57m,,,,
0.479,-79.03m,,,,
0.48,-79.03m,,,,
0.481,-85.93m,,,,
0.482,-79.03m,,,,
0.483,-79.03m,,,,
0.484,-82.48m,,,,
0.485,-82.48m,,,,
0.486,-75.57m,,,,
0.487,-79.03m,,,,
0.488,-75.57m,,,,
0.489,-75.57m,,,,
0.49,-72.12m,,,,
0.491,-75.57m,,,,
0.492,-79.03m,,,,
0.493,-79.03m,,,,
0.494,-75.57m,,,,
0.495,-75.57m,,,,
0.496,-72.12m,,,,
0.497,-72.12m,,,,
0.498,-75.57m,,,,
0.499,-79.03m,,,,
0.5,-68.67m,,,,
0.501,-82.48m,,,,
0.502,-79.03m,,,,
0.503,-75.57m,,,,
0.504,-82.48m,,,,
0.505,-75.57m,,,,
0.506,-79.03m,,,,
0.507,-82.48m,,,,
0.508,-72.12m,,,,
0.509,-75.57m,,,,
0.51,-75.57m,,,,
0.511,-68.67m,,,,
0.512,-68.67m,,,,
0.513,-72.12m,,,,
0.514,-72.12m,,,,
0.515,-79.03m,,,,
0.516,-79.03m,,,,
0.517,-85.93m,,,,
0.518,-82.48m,,,,
0.519,-89.38m,,,,
0.52,-72.12m,,,,
0.521,-82.48m,,,,
0.522,-79.03m,,,,
0.523,-72.12m,,,,
0.524,-68.67m,,,,
0.525,-79.03m,,,,
0.526,-82.48m,,,,
0.527,-82.48m,,,,
0.528,-89.38m,,,,
0.529,-89.38m,,,,
0.53,-79.03m,,,,
0.531,-85.93m,,,,
0.532,-79.03m,,,,
0.533,-85.93m,,,,
0.534,-72.12m,,,,
0.535,-82.48m,,,,
0.536,-79.03m,,,,
0.537,-82.48m,,,,
0.538,-79.03m,,,,
0.539,-82.48m,,,,
0.54,-79.03m,,,,
0.541,-75.57m,,,,
0.542,-79.03m,,,,
0.543,-79.03m,,,,
0.544,-79.03m,,,,
0.545,-82.48m,,,,
0.546,-79.03m,,,,
0.547,-79.03m,,,,
0.548,-75.57m,,,,
0.549,-79.03m,,,,
0.55,-82.48m,,,,
0.551,-79.03m,,,,
0.552,-85.93m,,,,
0.553,-75.57m,,,,
0.554,-79.03m,,,,
0.555,-72.12m,,,,
0.556,-75.57m,,,,
0.557,-82.48m,,,,
0.558,-72.12m,,,,
0.559,-72.12m,,,,
0.56,-82.48m,,,,
0.561,-79.03m,,,,
0.562,-79.03m,,,,
0.563,-85.93m,,,,
0.564,-82.48m,,,,
0.565,-79.03m,,,,
0.566,-68.67m,,,,
0.567,-72.12m,,,,
0.568,-72.12m,,,,
0.569,-72.12m,,,,
0.57,-72.12m,,,,
0.571,-75.57m,,,,
0.572,-82.48m,,,,
0.573,-72.12m,,,,
0.574,-75.57m,,,,
0.575,-75.57m,,,,
0.576,-82.48m,,,,
0.577,-72.12m,,,,
0.578,-72.12m,,,,
0.579,-82.48m,,,,
0.58,-65.22m,,,,
0.581,-85.93m,,,,
0.582,-79.03m,,,,
0.583,-75.57m,,,,
0.584,-79.03m,,,,
0.585,-75.57m,,,,
0.586,-85.93m,,,,
0.587,-68.67m,,,,
0.588,-75.57m,,,,
0.589,-75.57m,,,,
0.59,-68.67m,,,,
0.591,-89.38m,,,,
0.592,-72.12m,,,,
0.593,-75.57m,,,,
0.594,-72.12m,,,,
0.595,-82.48m,,,,
0.596,-75.57m,,,,
0.597,-68.67m,,,,
0.598,-75.57m,,,,
0.599,-79.03m,,,,
0.6,-79.03m,,,,
0.601,-85.93m,,,,
0.602,-85.93m,,,,
0.603,-82.48m,,,,
0.604,-75.57m,,,,
0.605,-79.03m,,,,
0.606,-75.57m,,,,
0.607,-72.12m,,,,
0.608,-72.12m,,,,
0.609,-75.57m,,,,
0.61,-79.03m,,,,
0.611,-82.48m,,,,
0.612,-82.48m,,,,
0.613,-79.03m,,,,
0.614,-85.93m,,,,
0.615,-68.67m,,,,
0.616,-72.12m,,,,
0.617,-75.57m,,,,
0.618,-89.38m,,,,
0.619,-79.03m,,,,
0.62,-75.57m,,,,
0.621,-75.57m,,,,
0.622,-82.48m,,,,
0.623,-89.38m,,,,
0.624,-85.93m,,,,
0.625,-79.03m,,,,
0.626,-79.03m,,,,
0.627,-79.03m,,,,
0.628,-68.67m,,,,
0.629,-79.03m,,,,
0.63,-72.12m,,,,
0.631,-79.03m,,,,
0.632,-75.57m,,,,
0.633,-75.57m,,,,
0.634,-72.12m,,,,
0.635,-79.03m,,,,
0.636,-75.57m,,,,
0.637,-72.12m,,,,
0.638,-75.57m,,,,
0.639,-82.48m,,,,
0.64,-75.57m,,,,
0.641,-79.03m,,,,
0.642,-75.57m,,,,
0.643,-82.48m,,,,
0.644,-79.03m,,,,
0.645,-79.03m,,,,
0.646,-54.87m,,,,
0.647,-72.12m,,,,
0.648,-75.57m,,,,
0.649,-72.12m,,,,
0.65,-75.57m,,,,
0.651,-79.03m,,,,
0.652,-72.12m,,,,
0.653,-75.57m,,,,
0.654,-79.03m,,,,
0.655,-61.77m,,,,
0.656,-75.57m,,,,
0.657,-75.57m,,,,
0.658,-79.03m,,,,
0.659,-79.03m,,,,
0.66,-85.93m,,,,
0.661,-79.03m,,,,
0.662,-82.48m,,,,
0.663,-79.03m,,,,
0.664,-72.12m,,,,
0.665,-82.48m,,,,
0.666,-82.48m,,,,
0.667,-72.12m,,,,
0.668,-82.48m,,,,
0.669,-68.67m,,,,
0.67,-75.57m,,,,
0.671,-75.57m,,,,
0.672,-75.57m,,,,
0.673,-75.57m,,,,
0.674,-82.48m,,,,
0.675,-75.57m,,,,
0.676,-92.83m,,,,
0.677,-79.03m,,,,
0.678,-79.03m,,,,
0.679,-79.03m,,,,
0.68,-79.03m,,,,
0.681,-75.57m,,,,
0.682,-75.57m,,,,
0.683,-79.03m,,,,
0.684,-79.03m,,,,
0.685,-82.48m,,,,
0.686,-79.03m,,,,
0.687,-82.48m,,,,
0.688,-82.48m,,,,
0.689,-85.93m,,,,
0.69,-85.93m,,,,
0.691,-85.93m,,,,
0.692,-96.28m,,,,
0.693,-72.12m,,,,
0.694,-72.12m,,,,
0.695,-85.93m,,,,
0.696,-61.77m,,,,
0.697,-75.57m,,,,
0.698,-72.12m,,,,
0.699,-72.12m,,,,
0.7,-82.48m,,,,
0.701,-82.48m,,,,
0.702,-79.03m,,,,
0.703,-79.03m,,,,
0.704,-75.57m,,,,
0.705,-75.57m,,,,
0.706,-72.12m,,,,
0.707,-72.12m,,,,
0.708,-79.03m,,,,
0.709,-89.38m,,,,
0.71,-82.48m,,,,
0.711,-79.03m,,,,
0.712,-75.57m,,,,
0.713,-75.57m,,,,
0.714,-79.03m,,,,
0.715,-72.12m,,,,
0.716,-75.57m,,,,
0.717,-72.12m,,,,
0.718,-68.67m,,,,
0.719,-79.03m,,,,
0.72,-75.57m,,,,
0.721,-82.48m,,,,
0.722,-75.57m,,,,
0.723,-85.93m,,,,
0.724,-79.03m,,,,
0.725,-75.57m,,,,
0.726,-75.57m,,,,
0.727,-65.22m,,,,
0.728,-82.48m,,,,
0.729,-79.03m,,,,
0.73,-79.03m,,,,
0.731,-82.48m,,,,
0.732,-82.48m,,,,
0.733,-82.48m,,,,
0.734,-75.57m,,,,
0.735,-75.57m,,,,
0.736,-75.57m,,,,
0.737,-85.93m,,,,
0.738,-68.67m,,,,
0.739,-65.22m,,,,
0.74,-79.03m,,,,
0.741,-72.12m,,,,
0.742,-75.57m,,,,
0.743,-75.57m,,,,
0.744,-72.12m,,,,
0.745,-79.03m,,,,
0.746,-85.93m,,,,
0.747,-61.77m,,,,
0.748,-82.48m,,,,
0.749,-75.57m,,,,
0.75,-75.57m,,,,
0.751,-72.12m,,,,
0.752,-82.48m,,,,
0.753,-72.12m,,,,
0.754,-68.67m,,,,
0.755,-72.12m,,,,
0.756,-79.03m,,,,
0.757,-79.03m,,,,
0.758,-79.03m,,,,
0.759,-75.57m,,,,
0.76,-79.03m,,,,
0.761,-79.03m,,,,
0.762,-79.03m,,,,
0.763,-75.57m,,,,
0.764,-85.93m,,,,
0.765,-85.93m,,,,
0.766,-79.03m,,,,
0.767,-75.57m,,,,
0.768,-85.93m,,,,
0.769,-79.03m,,,,
0.77,-79.03m,,,,
0.771,-79.03m,,,,
0.772,-85.93m,,,,
0.773,-68.67m,,,,
0.774,-79.03m,,,,
0.775,-72.12m,,,,
0.776,-82.48m,,,,
0.777,-82.48m,,,,
