Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,1460,N
0,618.2m,,,,
0.001,614.7m,,,,
0.002,621.6m,,,,
0.003,621.6m,,,,
0.004,618.2m,,,,
0.005,614.7m,,,,
0.006,614.7m,,,,
0.007,618.2m,,,,
0.008,614.7m,,,,
0.009,614.7m,,,,
0.01,618.2m,,,,
0.011,611.3m,,,,
0.012,614.7m,,,,
0.013,611.3m,,,,
0.014,607.8m,,,,
0.015,621.6m,,,,
0.016,604.4m,,,,
0.017,618.2m,,,,
0.018,614.7m,,,,
0.019,614.7m,,,,
0.02,611.3m,,,,
0.021,628.5m,,,,
0.022,618.2m,,,,
0.023,611.3m,,,,
0.024,611.3m,,,,
0.025,618.2m,,,,
0.026,614.7m,,,,
0.027,632m,,,,
0.028,618.2m,,,,
0.029,614.7m,,,,
0.03,614.7m,,,,
0.031,621.6m,,,,
0.032,618.2m,,,,
0.033,614.7m,,,,
0.034,614.7m,,,,
0.035,614.7m,,,,
0.036,614.7m,,,,
0.037,618.2m,,,,
0.038,604.4m,,,,
0.039,614.7m,,,,
0.04,607.8m,,,,
0.041,604.4m,,,,
0.042,618.2m,,,,
0.043,625.1m,,,,
0.044,611.3m,,,,
0.045,611.3m,,,,
0.046,614.7m,,,,
0.047,618.2m,,,,
0.048,618.2m,,,,
0.049,607.8m,,,,
0.05,618.2m,,,,
0.051,611.3m,,,,
0.052,604.4m,,,,
0.053,611.3m,,,,
0.054,607.8m,,,,
0.055,618.2m,,,,
0.056,611.3m,,,,
0.057,635.4m,,,,
0.058,621.6m,,,,
0.059,614.7m,,,,
0.06,614.7m,,,,
0.061,614.7m,,,,
0.062,611.3m,,,,
0.063,614.7m,,,,
0.064,621.6m,,,,
0.065,618.2m,,,,
0.066,625.1m,,,,
0.067,625.1m,,,,
0.068,607.8m,,,,
0.069,607.8m,,,,
0.07,618.2m,,,,
0.071,621.6m,,,,
0.072,621.6m,,,,
0.073,607.8m,,,,
0.074,618.2m,,,,
0.075,611.3m,,,,
0.076,618.2m,,,,
0.077,611.3m,,,,
0.078,621.6m,,,,
0.079,614.7m,,,,
0.08,614.7m,,,,
0.081,621.6m,,,,
0.082,625.1m,,,,
0.083,621.6m,,,,
0.084,621.6m,,,,
0.085,621.6m,,,,
0.086,607.8m,,,,
0.087,618.2m,,,,
0.088,614.7m,,,,
0.089,607.8m,,,,
0.09,621.6m,,,,
0.091,611.3m,,,,
0.092,607.8m,,,,
0.093,611.3m,,,,
0.094,618.2m,,,,
0.095,618.2m,,,,
0.096,614.7m,,,,
0.097,625.1m,,,,
0.098,611.3m,,,,
0.099,611.3m,,,,
0.1,618.2m,,,,
0.101,618.2m,,,,
0.102,614.7m,,,,
0.103,611.3m,,,,
0.104,611.3m,,,,
0.105,625.1m,,,,
0.106,614.7m,,,,
0.107,621.6m,,,,
0.108,611.3m,,,,
0.109,614.7m,,,,
0.11,611.3m,,,,
0.111,614.7m,,,,
0.112,618.2m,,,,
0.113,611.3m,,,,
0.114,614.7m,,,,
0.115,618.2m,,,,
0.116,607.8m,,,,
0.117,611.3m,,,,
0.118,611.3m,,,,
0.119,607.8m,,,,
0.12,607.8m,,,,
0.121,607.8m,,,,
0.122,611.3m,,,,
0.123,614.7m,,,,
0.124,614.7m,,,,
0.125,618.2m,,,,
0.126,618.2m,,,,
0.127,621.6m,,,,
0.128,614.7m,,,,
0.129,600.9m,,,,
0.13,607.8m,,,,
0.131,611.3m,,,,
0.132,611.3m,,,,
0.133,611.3m,,,,
0.134,604.4m,,,,
0.135,621.6m,,,,
0.136,614.7m,,,,
0.137,611.3m,,,,
0.138,621.6m,,,,
0.139,607.8m,,,,
0.14,614.7m,,,,
0.141,607.8m,,,,
0.142,618.2m,,,,
0.143,618.2m,,,,
0.144,611.3m,,,,
0.145,621.6m,,,,
0.146,614.7m,,,,
0.147,621.6m,,,,
0.148,614.7m,,,,
0.149,614.7m,,,,
0.15,614.7m,,,,
0.151,618.2m,,,,
0.152,614.7m,,,,
0.153,621.6m,,,,
0.154,614.7m,,,,
0.155,607.8m,,,,
0.156,614.7m,,,,
0.157,618.2m,,,,
0.158,604.4m,,,,
0.159,607.8m,,,,
0.16,604.4m,,,,
0.161,621.6m,,,,
0.162,618.2m,,,,
0.163,621.6m,,,,
0.164,611.3m,,,,
0.165,621.6m,,,,
0.166,614.7m,,,,
0.167,614.7m,,,,
0.168,607.8m,,,,
0.169,621.6m,,,,
0.17,628.5m,,,,
0.171,614.7m,,,,
0.172,611.3m,,,,
0.173,611.3m,,,,
0.174,614.7m,,,,
0.175,607.8m,,,,
0.176,604.4m,,,,
0.177,614.7m,,,,
0.178,625.1m,,,,
0.179,625.1m,,,,
0.18,621.6m,,,,
0.181,618.2m,,,,
0.182,618.2m,,,,
0.183,618.2m,,,,
0.184,607.8m,,,,
0.185,611.3m,,,,
0.186,611.3m,,,,
0.187,611.3m,,,,
0.188,607.8m,,,,
0.189,614.7m,,,,
0.19,607.8m,,,,
0.191,618.2m,,,,
0.192,614.7m,,,,
0.193,604.4m,,,,
0.194,618.2m,,,,
0.195,611.3m,,,,
0.196,618.2m,,,,
0.197,604.4m,,,,
0.198,618.2m,,,,
0.199,614.7m,,,,
0.2,618.2m,,,,
0.201,614.7m,,,,
0.202,618.2m,,,,
0.203,607.8m,,,,
0.204,604.4m,,,,
0.205,614.7m,,,,
0.206,614.7m,,,,
0.207,604.4m,,,,
0.208,607.8m,,,,
0.209,611.3m,,,,
0.21,614.7m,,,,
0.211,607.8m,,,,
0.212,614.7m,,,,
0.213,621.6m,,,,
0.214,614.7m,,,,
0.215,618.2m,,,,
0.216,618.2m,,,,
0.217,618.2m,,,,
0.218,614.7m,,,,
0.219,607.8m,,,,
0.22,611.3m,,,,
0.221,625.1m,,,,
0.222,614.7m,,,,
0.223,614.7m,,,,
0.224,621.6m,,,,
0.225,621.6m,,,,
0.226,614.7m,,,,
0.227,618.2m,,,,
0.228,618.2m,,,,
0.229,621.6m,,,,
0.23,607.8m,,,,
0.231,614.7m,,,,
0.232,614.7m,,,,
0.233,614.7m,,,,
0.234,618.2m,,,,
0.235,614.7m,,,,
0.236,611.3m,,,,
0.237,614.7m,,,,
0.238,604.4m,,,,
0.239,621.6m,,,,
0.24,604.4m,,,,
0.241,611.3m,,,,
0.242,614.7m,,,,
0.243,614.7m,,,,
0.244,618.2m,,,,
0.245,611.3m,,,,
0.246,611.3m,,,,
0.247,618.2m,,,,
0.248,604.4m,,,,
0.249,618.2m,,,,
0.25,625.1m,,,,
0.251,604.4m,,,,
0.252,618.2m,,,,
0.253,618.2m,,,,
0.254,611.3m,,,,
0.255,618.2m,,,,
0.256,618.2m,,,,
0.257,614.7m,,,,
0.258,611.3m,,,,
0.259,618.2m,,,,
0.26,611.3m,,,,
0.261,618.2m,,,,
0.262,618.2m,,,,
0.263,618.2m,,,,
0.264,611.3m,,,,
0.265,618.2m,,,,
0.266,611.3m,,,,
0.267,614.7m,,,,
0.268,607.8m,,,,
0.269,611.3m,,,,
0.27,607.8m,,,,
0.271,618.2m,,,,
0.272,621.6m,,,,
0.273,614.7m,,,,
0.274,621.6m,,,,
0.275,625.1m,,,,
0.276,614.7m,,,,
0.277,618.2m,,,,
