Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,2230,N
0,984m,,,,
0.001,984m,,,,
0.002,984m,,,,
0.003,994.4m,,,,
0.004,984m,,,,
0.005,984m,,,,
0.006,980.6m,,,,
0.007,980.6m,,,,
0.008,984m,,,,
0.009,990.9m,,,,
0.01,984m,,,,
0.011,984m,,,,
0.012,977.1m,,,,
0.013,987.5m,,,,
0.014,984m,,,,
0.015,984m,,,,
0.016,984m,,,,
0.017,977.1m,,,,
0.018,977.1m,,,,
0.019,984m,,,,
0.02,984m,,,,
0.021,990.9m,,,,
0.022,970.2m,,,,
0.023,980.6m,,,,
0.024,990.9m,,,,
0.025,984m,,,,
0.026,980.6m,,,,
0.027,980.6m,,,,
0.028,990.9m,,,,
0.029,987.5m,,,,
0.03,977.1m,,,,
0.031,980.6m,,,,
0.032,977.1m,,,,
0.033,984m,,,,
0.034,987.5m,,,,
0.035,980.6m,,,,
0.036,977.1m,,,,
0.037,980.6m,,,,
0.038,977.1m,,,,
0.039,984m,,,,
0.04,980.6m,,,,
0.041,987.5m,,,,
0.042,980.6m,,,,
0.043,973.7m,,,,
0.044,977.1m,,,,
0.045,977.1m,,,,
0.046,977.1m,,,,
0.047,984m,,,,
0.048,980.6m,,,,
0.049,987.5m,,,,
0.05,987.5m,,,,
0.051,973.7m,,,,
0.052,977.1m,,,,
0.053,973.7m,,,,
0.054,980.6m,,,,
0.055,984m,,,,
0.056,987.5m,,,,
0.057,970.2m,,,,
0.058,977.1m,,,,
0.059,984m,,,,
0.06,977.1m,,,,
0.061,984m,,,,
0.062,984m,,,,
0.063,990.9m,,,,
0.064,977.1m,,,,
0.065,987.5m,,,,
0.066,987.5m,,,,
0.067,980.6m,,,,
0.068,984m,,,,
0.069,980.6m,,,,
0.07,984m,,,,
0.071,980.6m,,,,
0.072,977.1m,,,,
0.073,980.6m,,,,
0.074,984m,,,,
0.075,984m,,,,
0.076,984m,,,,
0.077,980.6m,,,,
0.078,984m,,,,
0.079,973.7m,,,,
0.08,984m,,,,
0.081,987.5m,,,,
0.082,990.9m,,,,
0.083,984m,,,,
0.084,984m,,,,
0.085,994.4m,,,,
0.086,987.5m,,,,
0.087,980.6m,,,,
0.088,990.9m,,,,
0.089,980.6m,,,,
0.09,973.7m,,,,
0.091,980.6m,,,,
0.092,977.1m,,,,
0.093,984m,,,,
0.094,990.9m,,,,
0.095,977.1m,,,,
0.096,987.5m,,,,
0.097,980.6m,,,,
0.098,980.6m,,,,
0.099,980.6m,,,,
0.1,977.1m,,,,
0.101,984m,,,,
0.102,970.2m,,,,
0.103,984m,,,,
0.104,984m,,,,
0.105,980.6m,,,,
0.106,987.5m,,,,
0.107,977.1m,,,,
0.108,980.6m,,,,
0.109,984m,,,,
0.11,977.1m,,,,
0.111,980.6m,,,,
0.112,980.6m,,,,
0.113,980.6m,,,,
0.114,980.6m,,,,
