Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,118,N
0,-23.8m,,,,
0.001,-27.25m,,,,
0.002,-23.8m,,,,
0.003,-27.25m,,,,
0.004,-30.71m,,,,
0.005,-27.25m,,,,
0.006,-27.25m,,,,
0.007,-27.25m,,,,
0.008,-16.9m,,,,
0.009,-23.8m,,,,
0.01,-27.25m,,,,
0.011,-27.25m,,,,
0.012,-30.71m,,,,
0.013,-20.35m,,,,
0.014,-23.8m,,,,
0.015,-27.25m,,,,
0.016,-34.16m,,,,
0.017,-30.71m,,,,
0.018,-27.25m,,,,
0.019,-27.25m,,,,
0.02,-30.71m,,,,
0.021,-34.16m,,,,
0.022,-16.9m,,,,
0.023,-27.25m,,,,
0.024,-30.71m,,,,
0.025,-23.8m,,,,
0.026,-27.25m,,,,
0.027,-23.8m,,,,
0.028,-30.71m,,,,
0.029,-23.8m,,,,
0.03,-23.8m,,,,
0.031,-27.25m,,,,
0.032,-37.61m,,,,
0.033,-23.8m,,,,
0.034,-23.8m,,,,
0.035,-30.71m,,,,
0.036,-20.35m,,,,
0.037,-16.9m,,,,
0.038,-23.8m,,,,
0.039,-20.35m,,,,
0.04,-34.16m,,,,
0.041,-30.71m,,,,
0.042,-34.16m,,,,
0.043,-23.8m,,,,
0.044,-27.25m,,,,
0.045,-27.25m,,,,
0.046,-27.25m,,,,
0.047,-16.9m,,,,
0.048,-30.71m,,,,
0.049,-30.71m,,,,
0.05,-34.16m,,,,
0.051,-16.9m,,,,
0.052,-27.25m,,,,
0.053,-30.71m,,,,
0.054,-23.8m,,,,
0.055,-27.25m,,,,
0.056,-20.35m,,,,
0.057,-27.25m,,,,
0.058,-23.8m,,,,
0.059,-34.16m,,,,
0.06,-16.9m,,,,
0.061,-27.25m,,,,
0.062,-16.9m,,,,
0.063,-37.61m,,,,
0.064,-27.25m,,,,
0.065,-27.25m,,,,
0.066,-30.71m,,,,
0.067,-37.61m,,,,
0.068,-37.61m,,,,
0.069,-23.8m,,,,
0.07,-16.9m,,,,
0.071,-20.35m,,,,
0.072,-27.25m,,,,
0.073,-30.71m,,,,
0.074,-27.25m,,,,
0.075,-37.61m,,,,
0.076,-27.25m,,,,
0.077,-30.71m,,,,
0.078,-20.35m,,,,
0.079,-37.61m,,,,
0.08,-34.16m,,,,
0.081,-34.16m,,,,
0.082,-30.71m,,,,
0.083,-23.8m,,,,
0.084,-27.25m,,,,
0.085,-27.25m,,,,
0.086,-20.35m,,,,
0.087,-20.35m,,,,
0.088,-23.8m,,,,
0.089,-23.8m,,,,
0.09,-23.8m,,,,
0.091,-30.71m,,,,
0.092,-27.25m,,,,
0.093,-30.71m,,,,
0.094,-20.35m,,,,
0.095,-30.71m,,,,
0.096,-20.35m,,,,
0.097,-27.25m,,,,
0.098,-30.71m,,,,
0.099,-44.51m,,,,
0.1,-34.16m,,,,
0.101,-34.16m,,,,
0.102,-20.35m,,,,
0.103,-30.71m,,,,
0.104,-27.25m,,,,
0.105,-20.35m,,,,
0.106,-27.25m,,,,
0.107,-20.35m,,,,
0.108,-20.35m,,,,
0.109,-23.8m,,,,
0.11,-23.8m,,,,
0.111,-23.8m,,,,
0.112,-27.25m,,,,
0.113,-23.8m,,,,
0.114,-30.71m,,,,
0.115,-23.8m,,,,
0.116,-20.35m,,,,
0.117,-20.35m,,,,
0.118,-13.45m,,,,
0.119,-13.45m,,,,
0.12,-34.16m,,,,
0.121,-30.71m,,,,
0.122,-20.35m,,,,
0.123,-30.71m,,,,
0.124,-23.8m,,,,
0.125,-34.16m,,,,
0.126,-16.9m,,,,
0.127,-23.8m,,,,
0.128,-27.25m,,,,
0.129,-23.8m,,,,
0.13,-27.25m,,,,
0.131,-20.35m,,,,
0.132,-27.25m,,,,
0.133,-20.35m,,,,
0.134,-23.8m,,,,
0.135,-23.8m,,,,
0.136,-30.71m,,,,
0.137,-27.25m,,,,
0.138,-30.71m,,,,
0.139,-16.9m,,,,
0.14,-30.71m,,,,
0.141,-20.35m,,,,
0.142,-34.16m,,,,
0.143,-23.8m,,,,
0.144,-34.16m,,,,
0.145,-30.71m,,,,
0.146,-27.25m,,,,
0.147,-37.61m,,,,
0.148,-23.8m,,,,
0.149,-34.16m,,,,
0.15,-27.25m,,,,
0.151,-27.25m,,,,
0.152,-34.16m,,,,
0.153,-30.71m,,,,
0.154,-23.8m,,,,
0.155,-34.16m,,,,
0.156,-23.8m,,,,
0.157,-41.06m,,,,
0.158,-30.71m,,,,
0.159,-30.71m,,,,
0.16,-23.8m,,,,
0.161,-27.25m,,,,
0.162,-27.25m,,,,
0.163,-37.61m,,,,
0.164,-34.16m,,,,
