Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,1600N
0.265,676.9m,,,
0.266,683.8m,,,
0.267,676.9m,,,
0.268,683.8m,,,
0.269,673.4m,,,
0.27,673.4m,,,
0.271,670m,,,
0.272,680.3m,,,
0.273,680.3m,,,
0.274,676.9m,,,
0.275,670m,,,
0.276,680.3m,,,
0.277,680.3m,,,
0.278,683.8m,,,
0.279,680.3m,,,
0.28,687.2m,,,
0.281,683.8m,,,
0.282,680.3m,,,
0.283,676.9m,,,
0.284,673.4m,,,
0.285,683.8m,,,
0.286,687.2m,,,
0.287,673.4m,,,
0.288,680.3m,,,
0.289,676.9m,,,
0.29,673.4m,,,
0.291,687.2m,,,
0.292,676.9m,,,
0.293,683.8m,,,
0.294,676.9m,,,
0.295,676.9m,,,
0.296,676.9m,,,
0.297,676.9m,,,
0.298,680.3m,,,
0.299,680.3m,,,
0.3,687.2m,,,
0.301,676.9m,,,
0.302,680.3m,,,
0.303,694.1m,,,
0.304,683.8m,,,
0.305,683.8m,,,
0.306,687.2m,,,
0.307,673.4m,,,
0.308,676.9m,,,
0.309,683.8m,,,
0.31,673.4m,,,
0.311,673.4m,,,
0.312,690.7m,,,
0.313,680.3m,,,
0.314,687.2m,,,
0.315,676.9m,,,
0.316,683.8m,,,
0.317,683.8m,,,
0.318,676.9m,,,
0.319,683.8m,,,
0.32,676.9m,,,
0.321,683.8m,,,
0.322,683.8m,,,
0.323,673.4m,,,
0.324,683.8m,,,
0.325,680.3m,,,
0.326,683.8m,,,
0.327,683.8m,,,
0.328,680.3m,,,
0.329,676.9m,,,
0.33,676.9m,,,
0.331,680.3m,,,
0.332,680.3m,,,
0.333,680.3m,,,
0.334,680.3m,,,
0.335,676.9m,,,
0.336,680.3m,,,
0.337,680.3m,,,
0.338,673.4m,,,
0.339,670m,,,
0.34,676.9m,,,
0.341,673.4m,,,
0.342,683.8m,,,
0.343,683.8m,,,
0.344,680.3m,,,
0.345,680.3m,,,
0.346,680.3m,,,
0.347,683.8m,,,
0.348,680.3m,,,
0.349,680.3m,,,
0.35,673.4m,,,
0.351,676.9m,,,
0.352,687.2m,,,
0.353,666.5m,,,
0.354,683.8m,,,
0.355,687.2m,,,
0.356,687.2m,,,
0.357,680.3m,,,
0.358,676.9m,,,
0.359,683.8m,,,
0.36,683.8m,,,
0.361,683.8m,,,
0.362,694.1m,,,
0.363,680.3m,,,
0.364,673.4m,,,
0.365,683.8m,,,
0.366,680.3m,,,
0.367,676.9m,,,
0.368,683.8m,,,
0.369,687.2m,,,
0.37,676.9m,,,
0.371,676.9m,,,
0.372,683.8m,,,
0.373,680.3m,,,
0.374,673.4m,,,
0.375,676.9m,,,
0.376,687.2m,,,
0.377,676.9m,,,
0.378,687.2m,,,
0.379,670m,,,
0.38,673.4m,,,
0.381,676.9m,,,
0.382,683.8m,,,
0.383,683.8m,,,
0.384,673.4m,,,
0.385,676.9m,,,
0.386,676.9m,,,
0.387,690.7m,,,
0.388,680.3m,,,
0.389,680.3m,,,
0.39,680.3m,,,
0.391,676.9m,,,
0.392,680.3m,,,
0.393,680.3m,,,
0.394,676.9m,,,
0.395,683.8m,,,
0.396,683.8m,,,
0.397,687.2m,,,
0.398,687.2m,,,
0.399,680.3m,,,
0.4,687.2m,,,
0.401,683.8m,,,
0.402,680.3m,,,
0.403,676.9m,,,
0.404,683.8m,,,
0.405,687.2m,,,
0.406,680.3m,,,
0.407,680.3m,,,
0.408,690.7m,,,
0.409,680.3m,,,
0.41,680.3m,,,
0.411,673.4m,,,
0.412,676.9m,,,
0.413,676.9m,,,
0.414,683.8m,,,
0.415,676.9m,,,
0.416,676.9m,,,
0.417,673.4m,,,
0.418,676.9m,,,
0.419,676.9m,,,
0.42,683.8m,,,
0.421,687.2m,,,
0.422,673.4m,,,
0.423,680.3m,,,
0.424,680.3m,,,
0.425,687.2m,,,
0.426,676.9m,,,
0.427,683.8m,,,
0.428,680.3m,,,
0.429,680.3m,,,
0.43,680.3m,,,
0.431,676.9m,,,
0.432,676.9m,,,
0.433,670m,,,
0.434,676.9m,,,
0.435,680.3m,,,
0.436,680.3m,,,
0.437,680.3m,,,
0.438,676.9m,,,
0.439,676.9m,,,
0.44,680.3m,,,
0.441,680.3m,,,
0.442,683.8m,,,
0.443,680.3m,,,
0.444,676.9m,,,
0.445,683.8m,,,
0.446,680.3m,,,
0.447,680.3m,,,
0.448,680.3m,,,
0.449,683.8m,,,
0.45,680.3m,,,
0.451,680.3m,,,
0.452,683.8m,,,
0.453,683.8m,,,
0.454,680.3m,,,
0.455,683.8m,,,
0.456,676.9m,,,
0.457,687.2m,,,
0.458,690.7m,,,
0.459,687.2m,,,
0.46,680.3m,,,
0.461,670m,,,
0.462,680.3m,,,
0.463,680.3m,,,
0.464,680.3m,,,
0.465,683.8m,,,
0.466,676.9m,,,
0.467,680.3m,,,
0.468,676.9m,,,
0.469,673.4m,,,
0.47,683.8m,,,
0.471,683.8m,,,
0.472,683.8m,,,
0.473,676.9m,,,
0.474,676.9m,,,
0.475,687.2m,,,
0.476,676.9m,,,
0.477,680.3m,,,
0.478,676.9m,,,
0.479,676.9m,,,
0.48,683.8m,,,
0.481,683.8m,,,
0.482,673.4m,,,
0.483,676.9m,,,
0.484,687.2m,,,
0.485,687.2m,,,
0.486,680.3m,,,
0.487,680.3m,,,
0.488,676.9m,,,
0.489,670m,,,
0.49,673.4m,,,
0.491,676.9m,,,
0.492,687.2m,,,
0.493,673.4m,,,
0.494,680.3m,,,
0.495,687.2m,,,
0.496,673.4m,,,
0.497,676.9m,,,
0.498,676.9m,,,
0.499,676.9m,,,
0.5,676.9m,,,
0.501,673.4m,,,
0.502,676.9m,,,
0.503,687.2m,,,
0.504,673.4m,,,
0.505,683.8m,,,
0.506,687.2m,,,
0.507,673.4m,,,
0.508,680.3m,,,
0.509,680.3m,,,
0.51,680.3m,,,
0.511,683.8m,,,
0.512,680.3m,,,
0.513,683.8m,,,
0.514,683.8m,,,
0.515,680.3m,,,
0.516,676.9m,,,
0.517,683.8m,,,
0.518,690.7m,,,
0.519,687.2m,,,
0.52,680.3m,,,
0.521,687.2m,,,
0.522,680.3m,,,
0.523,676.9m,,,
0.524,687.2m,,,
0.525,683.8m,,,
0.526,680.3m,,,
0.527,687.2m,,,
0.528,676.9m,,,
0.529,673.4m,,,
0.53,680.3m,,,
0.531,683.8m,,,
0.532,676.9m,,,
0.533,687.2m,,,
0.534,687.2m,,,
0.535,680.3m,,,
0.536,690.7m,,,
0.537,683.8m,,,
0.538,694.1m,,,
0.539,687.2m,,,
0.54,680.3m,,,
0.541,687.2m,,,
0.542,683.8m,,,
0.543,673.4m,,,
0.544,676.9m,,,
0.545,687.2m,,,
0.546,673.4m,,,
0.547,683.8m,,,
0.548,680.3m,,,
0.549,670m,,,
0.55,676.9m,,,
0.551,683.8m,,,
0.552,687.2m,,,
0.553,676.9m,,,
0.554,687.2m,,,
0.555,680.3m,,,
0.556,680.3m,,,
0.557,687.2m,,,
0.558,687.2m,,,
0.559,680.3m,,,
0.56,687.2m,,,
0.561,676.9m,,,
0.562,683.8m,,,
0.563,676.9m,,,
0.564,676.9m,,,
0.565,680.3m,,,
0.566,687.2m,,,
0.567,673.4m,,,
0.568,676.9m,,,
0.569,673.4m,,,
0.57,680.3m,,,
0.571,680.3m,,,
0.572,680.3m,,,
0.573,676.9m,,,
0.574,676.9m,,,
0.575,683.8m,,,
0.576,676.9m,,,
0.577,670m,,,
0.578,683.8m,,,
0.579,673.4m,,,
0.58,680.3m,,,
0.581,683.8m,,,
0.582,680.3m,,,
0.583,687.2m,,,
0.584,683.8m,,,
0.585,687.2m,,,
0.586,676.9m,,,
0.587,683.8m,,,
0.588,683.8m,,,
0.589,680.3m,,,
0.59,683.8m,,,
0.591,683.8m,,,
0.592,676.9m,,,
0.593,683.8m,,,
0.594,687.2m,,,
0.595,680.3m,,,
0.596,673.4m,,,
0.597,687.2m,,,
0.598,676.9m,,,
0.599,683.8m,,,
0.6,673.4m,,,
0.601,676.9m,,,
0.602,680.3m,,,
0.603,676.9m,,,
0.604,690.7m,,,
0.605,683.8m,,,
0.606,683.8m,,,
0.607,683.8m,,,
0.608,676.9m,,,
0.609,687.2m,,,
0.61,687.2m,,,
0.611,676.9m,,,
0.612,690.7m,,,
0.613,676.9m,,,
0.614,680.3m,,,
0.615,683.8m,,,
0.616,680.3m,,,
0.617,676.9m,,,
0.618,680.3m,,,
0.619,680.3m,,,
0.62,683.8m,,,
0.621,676.9m,,,
0.622,683.8m,,,
0.623,680.3m,,,
0.624,670m,,,
0.625,680.3m,,,
0.626,676.9m,,,
0.627,680.3m,,,
0.628,673.4m,,,
0.629,680.3m,,,
0.63,687.2m,,,
0.631,687.2m,,,
0.632,676.9m,,,
0.633,676.9m,,,
0.634,673.4m,,,
0.635,683.8m,,,
0.636,676.9m,,,
0.637,673.4m,,,
0.638,676.9m,,,
0.639,673.4m,,,
0.64,683.8m,,,
0.641,683.8m,,,
0.642,687.2m,,,
0.643,670m,,,
0.644,683.8m,,,
0.645,683.8m,,,
0.646,683.8m,,,
0.647,676.9m,,,
0.648,683.8m,,,
0.649,690.7m,,,
0.65,687.2m,,,
0.651,683.8m,,,
0.652,680.3m,,,
0.653,690.7m,,,
0.654,680.3m,,,
0.655,680.3m,,,
0.656,683.8m,,,
0.657,680.3m,,,
0.658,683.8m,,,
0.659,670m,,,
0.66,683.8m,,,
0.661,680.3m,,,
0.662,680.3m,,,
0.663,676.9m,,,
0.664,680.3m,,,
0.665,680.3m,,,
0.666,687.2m,,,
0.667,680.3m,,,
0.668,680.3m,,,
0.669,676.9m,,,
0.67,676.9m,,,
0.671,680.3m,,,
0.672,676.9m,,,
0.673,676.9m,,,
0.674,680.3m,,,
0.675,676.9m,,,
0.676,670m,,,
0.677,673.4m,,,
0.678,676.9m,,,
0.679,676.9m,,,
0.68,666.5m,,,
0.681,680.3m,,,
0.682,683.8m,,,
0.683,683.8m,,,
0.684,680.3m,,,
0.685,676.9m,,,
0.686,690.7m,,,
0.687,680.3m,,,
0.688,676.9m,,,
0.689,683.8m,,,
0.69,680.3m,,,
0.691,697.6m,,,
0.692,690.7m,,,
0.693,687.2m,,,
0.694,666.5m,,,
0.695,680.3m,,,
0.696,676.9m,,,
0.697,680.3m,,,
0.698,680.3m,,,
0.699,687.2m,,,
0.7,680.3m,,,
0.701,676.9m,,,
0.702,680.3m,,,
0.703,676.9m,,,
0.704,683.8m,,,
0.705,683.8m,,,
0.706,683.8m,,,
0.707,673.4m,,,
0.708,687.2m,,,
0.709,683.8m,,,
0.71,680.3m,,,
0.711,676.9m,,,
0.712,673.4m,,,
0.713,670m,,,
0.714,680.3m,,,
0.715,690.7m,,,
0.716,676.9m,,,
0.717,680.3m,,,
0.718,676.9m,,,
0.719,683.8m,,,
0.72,680.3m,,,
0.721,680.3m,,,
0.722,673.4m,,,
0.723,680.3m,,,
0.724,683.8m,,,
0.725,680.3m,,,
0.726,680.3m,,,
0.727,680.3m,,,
0.728,687.2m,,,
0.729,680.3m,,,
0.73,683.8m,,,
0.731,676.9m,,,
0.732,687.2m,,,
0.733,690.7m,,,
0.734,680.3m,,,
0.735,680.3m,,,
0.736,690.7m,,,
0.737,676.9m,,,
0.738,687.2m,,,
0.739,680.3m,,,
0.74,687.2m,,,
0.741,690.7m,,,
0.742,680.3m,,,
0.743,690.7m,,,
0.744,690.7m,,,
0.745,680.3m,,,
0.746,670m,,,
0.747,683.8m,,,
0.748,687.2m,,,
0.749,680.3m,,,
0.75,676.9m,,,
0.751,683.8m,,,
0.752,673.4m,,,
0.753,683.8m,,,
0.754,680.3m,,,
0.755,687.2m,,,
0.756,680.3m,,,
0.757,690.7m,,,
0.758,683.8m,,,
0.759,673.4m,,,
0.76,680.3m,,,
0.761,687.2m,,,
0.762,670m,,,
0.763,680.3m,,,
0.764,690.7m,,,
0.765,676.9m,,,
0.766,673.4m,,,
0.767,680.3m,,,
0.768,680.3m,,,
0.769,680.3m,,,
0.77,683.8m,,,
0.771,673.4m,,,
0.772,687.2m,,,
0.773,673.4m,,,
0.774,683.8m,,,
0.775,683.8m,,,
0.776,676.9m,,,
0.777,673.4m,,,
0.778,680.3m,,,
0.779,680.3m,,,
0.78,673.4m,,,
0.781,666.5m,,,
0.782,670m,,,
0.783,680.3m,,,
0.784,673.4m,,,
0.785,676.9m,,,
0.786,680.3m,,,
0.787,680.3m,,,
0.788,676.9m,,,
0.789,683.8m,,,
0.79,680.3m,,,
0.791,676.9m,,,
0.792,687.2m,,,
0.793,676.9m,,,
0.794,680.3m,,,
0.795,683.8m,,,
0.796,683.8m,,,
0.797,673.4m,,,
0.798,683.8m,,,
0.799,680.3m,,,
0.8,687.2m,,,
0.801,687.2m,,,
0.802,683.8m,,,
0.803,680.3m,,,
0.804,676.9m,,,
0.805,680.3m,,,
0.806,673.4m,,,
0.807,687.2m,,,
0.808,680.3m,,,
0.809,680.3m,,,
0.81,697.6m,,,
0.811,694.1m,,,
0.812,687.2m,,,
0.813,680.3m,,,
0.814,683.8m,,,
0.815,676.9m,,,
0.816,694.1m,,,
0.817,673.4m,,,
0.818,687.2m,,,
0.819,680.3m,,,
0.82,673.4m,,,
0.821,680.3m,,,
0.822,680.3m,,,
0.823,676.9m,,,
0.824,683.8m,,,
0.825,687.2m,,,
0.826,676.9m,,,
0.827,683.8m,,,
0.828,676.9m,,,
0.829,683.8m,,,
0.83,683.8m,,,
0.831,680.3m,,,
0.832,673.4m,,,
0.833,680.3m,,,
0.834,690.7m,,,
0.835,676.9m,,,
0.836,680.3m,,,
0.837,680.3m,,,
0.838,680.3m,,,
0.839,670m,,,
0.84,687.2m,,,
0.841,687.2m,,,
0.842,687.2m,,,
0.843,676.9m,,,
0.844,673.4m,,,
0.845,680.3m,,,
0.846,687.2m,,,
0.847,676.9m,,,
0.848,680.3m,,,
0.849,673.4m,,,
0.85,680.3m,,,
0.851,687.2m,,,
0.852,676.9m,,,
0.853,680.3m,,,
0.854,670m,,,
0.855,670m,,,
0.856,680.3m,,,
0.857,680.3m,,,
0.858,676.9m,,,
0.859,687.2m,,,
0.86,683.8m,,,
0.861,687.2m,,,
0.862,683.8m,,,
0.863,680.3m,,,
0.864,687.2m,,,
0.865,680.3m,,,
0.866,680.3m,,,
0.867,687.2m,,,
0.868,680.3m,,,
0.869,687.2m,,,
0.87,683.8m,,,
0.871,683.8m,,,
0.872,680.3m,,,
0.873,687.2m,,,
0.874,683.8m,,,
0.875,680.3m,,,
0.876,683.8m,,,
0.877,680.3m,,,
0.878,680.3m,,,
0.879,680.3m,,,
0.88,690.7m,,,
0.881,683.8m,,,
0.882,676.9m,,,
0.883,687.2m,,,
0.884,673.4m,,,
0.885,680.3m,,,
0.886,687.2m,,,
0.887,687.2m,,,
0.888,676.9m,,,
0.889,676.9m,,,
0.89,676.9m,,,
