Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,1075,N
0,435.3m,,,,
0.001,424.9m,,,,
0.002,424.9m,,,,
0.003,418m,,,,
0.004,428.3m,,,,
0.005,449.1m,,,,
0.006,428.3m,,,,
0.007,414.5m,,,,
0.008,428.3m,,,,
0.009,428.3m,,,,
0.01,424.9m,,,,
0.011,424.9m,,,,
0.012,421.4m,,,,
0.013,431.8m,,,,
0.014,424.9m,,,,
0.015,424.9m,,,,
0.016,424.9m,,,,
0.017,431.8m,,,,
0.018,428.3m,,,,
0.019,424.9m,,,,
0.02,428.3m,,,,
0.021,428.3m,,,,
0.022,424.9m,,,,
0.023,431.8m,,,,
0.024,421.4m,,,,
0.025,428.3m,,,,
0.026,431.8m,,,,
0.027,431.8m,,,,
0.028,421.4m,,,,
0.029,431.8m,,,,
0.03,424.9m,,,,
0.031,424.9m,,,,
0.032,431.8m,,,,
0.033,435.3m,,,,
0.034,428.3m,,,,
0.035,431.8m,,,,
0.036,424.9m,,,,
0.037,435.3m,,,,
0.038,428.3m,,,,
0.039,421.4m,,,,
0.04,424.9m,,,,
0.041,435.3m,,,,
0.042,424.9m,,,,
0.043,424.9m,,,,
0.044,428.3m,,,,
0.045,435.3m,,,,
0.046,421.4m,,,,
0.047,424.9m,,,,
0.048,428.3m,,,,
0.049,424.9m,,,,
0.05,421.4m,,,,
0.051,428.3m,,,,
0.052,435.3m,,,,
0.053,431.8m,,,,
0.054,431.8m,,,,
0.055,431.8m,,,,
0.056,431.8m,,,,
0.057,431.8m,,,,
0.058,431.8m,,,,
0.059,435.3m,,,,
0.06,428.3m,,,,
0.061,424.9m,,,,
0.062,431.8m,,,,
0.063,438.7m,,,,
0.064,428.3m,,,,
0.065,424.9m,,,,
0.066,428.3m,,,,
0.067,421.4m,,,,
0.068,435.3m,,,,
0.069,431.8m,,,,
0.07,445.6m,,,,
0.071,431.8m,,,,
0.072,411.1m,,,,
0.073,424.9m,,,,
0.074,431.8m,,,,
0.075,428.3m,,,,
0.076,428.3m,,,,
0.077,418m,,,,
0.078,424.9m,,,,
0.079,418m,,,,
0.08,428.3m,,,,
0.081,428.3m,,,,
0.082,435.3m,,,,
