Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,1975,N
0,859.8m,,,,
0.001,870.1m,,,,
0.002,852.9m,,,,
0.003,856.3m,,,,
0.004,856.3m,,,,
0.005,866.7m,,,,
0.006,866.7m,,,,
0.007,859.8m,,,,
0.008,866.7m,,,,
0.009,863.2m,,,,
0.01,856.3m,,,,
0.011,880.5m,,,,
0.012,863.2m,,,,
0.013,863.2m,,,,
0.014,870.1m,,,,
0.015,859.8m,,,,
0.016,856.3m,,,,
0.017,859.8m,,,,
0.018,856.3m,,,,
0.019,863.2m,,,,
0.02,859.8m,,,,
0.021,866.7m,,,,
0.022,859.8m,,,,
0.023,856.3m,,,,
0.024,859.8m,,,,
0.025,866.7m,,,,
0.026,863.2m,,,,
0.027,856.3m,,,,
0.028,856.3m,,,,
0.029,859.8m,,,,
0.03,863.2m,,,,
0.031,859.8m,,,,
0.032,856.3m,,,,
0.033,852.9m,,,,
0.034,859.8m,,,,
0.035,859.8m,,,,
0.036,859.8m,,,,
0.037,856.3m,,,,
0.038,863.2m,,,,
0.039,856.3m,,,,
0.04,877m,,,,
0.041,856.3m,,,,
0.042,863.2m,,,,
0.043,863.2m,,,,
0.044,859.8m,,,,
0.045,859.8m,,,,
0.046,866.7m,,,,
0.047,852.9m,,,,
0.048,870.1m,,,,
0.049,852.9m,,,,
0.05,859.8m,,,,
0.051,852.9m,,,,
0.052,866.7m,,,,
0.053,859.8m,,,,
0.054,856.3m,,,,
0.055,859.8m,,,,
0.056,859.8m,,,,
0.057,852.9m,,,,
0.058,859.8m,,,,
0.059,873.6m,,,,
0.06,856.3m,,,,
0.061,859.8m,,,,
0.062,866.7m,,,,
0.063,856.3m,,,,
0.064,849.4m,,,,
0.065,863.2m,,,,
0.066,863.2m,,,,
0.067,870.1m,,,,
0.068,859.8m,,,,
0.069,863.2m,,,,
0.07,863.2m,,,,
0.071,863.2m,,,,
0.072,863.2m,,,,
0.073,870.1m,,,,
0.074,859.8m,,,,
0.075,859.8m,,,,
0.076,852.9m,,,,
0.077,856.3m,,,,
0.078,863.2m,,,,
0.079,856.3m,,,,
0.08,856.3m,,,,
0.081,866.7m,,,,
0.082,859.8m,,,,
0.083,856.3m,,,,
0.084,856.3m,,,,
0.085,856.3m,,,,
0.086,866.7m,,,,
0.087,863.2m,,,,
0.088,859.8m,,,,
0.089,859.8m,,,,
0.09,866.7m,,,,
0.091,849.4m,,,,
0.092,866.7m,,,,
0.093,852.9m,,,,
0.094,856.3m,,,,
0.095,856.3m,,,,
0.096,863.2m,,,,
0.097,863.2m,,,,
0.098,856.3m,,,,
0.099,863.2m,,,,
0.1,866.7m,,,,
0.101,863.2m,,,,
0.102,852.9m,,,,
0.103,849.4m,,,,
0.104,852.9m,,,,
0.105,859.8m,,,,
0.106,859.8m,,,,
0.107,866.7m,,,,
0.108,856.3m,,,,
0.109,856.3m,,,,
0.11,856.3m,,,,
0.111,856.3m,,,,
0.112,852.9m,,,,
0.113,859.8m,,,,
0.114,859.8m,,,,
0.115,866.7m,,,,
0.116,856.3m,,,,
0.117,863.2m,,,,
0.118,859.8m,,,,
0.119,863.2m,,,,
0.12,852.9m,,,,
0.121,863.2m,,,,
0.122,859.8m,,,,
0.123,849.4m,,,,
0.124,859.8m,,,,
0.125,859.8m,,,,
0.126,852.9m,,,,
0.127,863.2m,,,,
0.128,852.9m,,,,
0.129,856.3m,,,,
0.13,866.7m,,,,
0.131,859.8m,,,,
0.132,866.7m,,,,
0.133,852.9m,,,,
0.134,863.2m,,,,
0.135,856.3m,,,,
0.136,852.9m,,,,
0.137,849.4m,,,,
0.138,863.2m,,,,
0.139,859.8m,,,,
0.14,863.2m,,,,
