C1:1
C2:1
C3:1
G***:1
H1:1
H2:1
H3:1
H4:1
H5:1
J1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
U1:1
U10:1
U11:1
U12:1
U2:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
U9:1
